,job,Obj00,Obj10,Obj01,Obj11,Obj02,Obj12,Obj03,Obj13,Obj04,Obj14,Obj05,Obj15,Obj06,Obj16,Obj07,Obj17,Obj08,Obj18,Obj09,Obj19,Obj010,Obj110,Obj011,Obj111,Obj012,Obj112,Obj013,Obj113,Obj014,Obj114
0,0,10,13,8,7,16,12,16,1,14,9,6,11,8,18,24,1,24,20,15,20,10,9,1,14,22,24,6,18,13,9
1,1,9,12,6,15,17,23,7,24,17,12,19,24,7,6,15,1,9,11,22,19,11,24,17,17,4,12,2,11,24,12
2,2,20,18,24,10,5,13,20,12,15,14,22,19,15,13,9,22,2,5,6,7,7,20,18,8,24,8,13,18,9,22
3,3,14,7,1,8,3,1,10,9,15,6,9,16,13,15,7,6,19,21,5,10,21,22,4,16,7,13,11,13,21,20
4,4,18,5,18,16,3,11,12,19,11,21,7,17,2,17,4,13,18,19,16,7,12,12,14,4,21,1,15,3,18,8
5,5,21,13,20,22,17,6,11,15,24,22,13,5,13,3,8,11,3,18,4,12,21,7,14,12,1,5,12,5,12,12
6,6,4,19,8,24,3,19,7,12,23,24,19,4,24,3,7,19,7,9,14,3,17,8,16,17,11,24,22,10,2,11
7,7,8,9,17,12,18,6,3,3,16,13,15,4,7,1,13,6,14,3,17,5,7,3,12,24,8,6,7,19,2,13
8,8,19,12,13,9,14,20,11,4,8,3,10,22,16,2,5,4,7,24,22,19,24,17,9,13,9,3,18,17,10,1
9,9,10,1,22,11,23,19,7,15,24,13,8,19,12,2,12,12,22,19,10,23,11,2,3,3,19,21,17,23,8,23
10,10,4,20,7,1,20,17,22,21,4,6,14,8,15,7,10,3,10,19,21,23,16,14,5,5,9,9,6,4,14,24
11,11,14,3,20,2,23,18,15,2,16,9,24,10,13,5,5,8,13,4,4,7,8,19,3,4,13,11,10,9,2,6
12,12,4,4,8,1,21,24,9,13,24,14,24,18,9,21,11,7,7,18,6,16,19,17,21,7,19,14,3,1,11,7
13,13,23,12,13,20,16,12,8,10,20,16,9,7,6,7,15,4,14,16,10,3,13,19,24,2,13,20,2,6,4,7
14,14,2,13,12,17,2,9,14,11,6,17,21,9,4,7,6,8,18,4,18,23,16,22,9,13,5,19,16,20,6,11
15,15,15,24,24,12,13,4,16,2,20,7,10,21,13,4,19,21,18,3,1,15,12,1,10,6,8,3,17,6,5,22
16,16,10,6,24,15,24,10,17,18,12,18,8,6,14,18,18,5,24,19,20,4,20,19,14,23,16,24,10,10,15,18
17,17,10,15,5,21,23,3,22,3,2,3,10,15,13,10,2,18,20,19,1,17,2,23,5,23,14,1,12,9,23,9
