,job,Obj00,Obj10,Obj01,Obj11,Obj02,Obj12,Obj03,Obj13,Obj04,Obj14,Obj05,Obj15,Obj06,Obj16,Obj07,Obj17,Obj08,Obj18,Obj09,Obj19,Obj010,Obj110,Obj011,Obj111,Obj012,Obj112,Obj013,Obj113,Obj014,Obj114
0,0,77,34,77,55,47,40,66,41,2,95,65,87,8,48,63,12,2,25,77,61,26,63,11,33,63,15,11,41,38,63
1,1,62,70,35,4,3,63,39,89,89,73,61,78,87,29,1,24,64,7,18,6,6,24,35,86,70,19,55,26,79,79
2,2,82,71,6,21,73,49,63,47,24,83,72,5,59,92,71,48,25,86,51,4,24,50,10,90,58,95,60,95,18,17
3,3,23,68,4,22,46,60,4,94,79,60,45,81,49,54,35,28,75,15,38,29,95,72,89,7,26,62,49,15,28,37
4,4,48,72,20,27,47,85,35,35,72,49,73,91,1,60,30,87,3,49,13,74,90,62,31,39,26,16,82,67,16,54
5,5,17,94,85,50,13,60,58,53,35,42,8,64,93,73,53,75,4,45,63,72,30,61,93,4,73,13,34,89,43,29
6,6,7,91,36,69,91,8,90,66,9,88,73,93,5,95,96,55,50,10,3,59,7,99,41,91,23,63,78,35,24,8
7,7,21,43,51,76,41,21,94,13,62,74,30,3,14,84,74,59,94,54,76,24,31,62,53,97,97,10,16,71,95,49
8,8,45,21,36,31,91,18,75,29,83,52,60,56,52,36,72,85,37,3,34,74,82,46,25,12,58,87,8,32,69,95
9,9,26,46,34,88,26,48,49,38,8,32,37,12,92,83,44,51,29,46,4,89,72,4,75,92,52,98,57,9,41,13
10,10,54,82,54,4,95,30,82,18,72,73,75,52,6,99,37,36,27,92,22,84,38,48,21,87,97,27,40,8,57,97
11,11,79,60,67,48,36,37,88,91,8,2,5,61,86,61,39,30,76,44,20,95,26,22,95,99,55,46,65,62,52,25
12,12,23,93,66,52,80,10,96,88,35,98,6,41,7,3,94,10,53,83,53,29,55,98,8,53,90,9,53,46,39,82
13,13,70,75,38,99,43,90,71,80,59,34,27,46,41,72,80,17,40,43,42,39,14,79,71,2,47,3,46,72,72,15
14,14,10,88,18,68,85,29,76,64,44,51,60,98,53,50,36,94,96,68,60,95,1,67,17,67,43,81,70,15,36,71
15,15,93,4,2,70,16,16,4,55,74,64,91,79,95,99,19,82,57,19,5,67,79,13,20,61,40,84,49,15,21,39
16,16,59,19,97,21,53,94,4,53,3,30,16,65,80,99,38,69,20,42,83,85,92,52,11,79,15,22,35,11,90,20
17,17,9,50,18,15,78,50,51,56,93,52,67,71,40,48,94,35,12,22,4,13,8,46,1,76,43,60,84,51,83,71
