,job,Obj00,Obj10,Obj01,Obj11,Obj02,Obj12,Obj03,Obj13,Obj04,Obj14,Obj05,Obj15,Obj06,Obj16,Obj07,Obj17,Obj08,Obj18,Obj09,Obj19,Obj010,Obj110,Obj011,Obj111,Obj012,Obj112,Obj013,Obj113,Obj014,Obj114
0,0,167,253,24,91,146,49,113,72,235,274,95,299,277,110,65,118,41,10,66,245,116,33,184,150,53,189,263,30,46,224
1,1,133,157,153,99,172,101,184,225,58,62,108,248,122,121,217,284,30,176,250,242,1,224,161,2,103,274,99,254,134,254
2,2,32,17,284,20,177,166,107,167,132,203,172,281,53,156,54,19,228,42,26,33,89,60,191,299,226,204,126,142,163,98
3,3,187,43,212,106,48,233,165,296,56,152,47,195,95,229,59,280,86,64,200,89,271,106,28,87,123,5,93,3,236,266
4,4,52,198,214,121,114,6,135,48,100,129,293,69,30,77,152,19,66,152,34,34,275,133,185,236,33,97,27,75,40,166
5,5,293,233,6,107,76,236,191,197,94,186,27,135,112,111,159,93,8,136,235,38,233,142,291,177,13,251,255,88,160,265
6,6,164,10,66,2,97,31,200,131,195,125,243,3,42,216,113,134,9,159,259,12,16,161,193,236,88,144,214,2,6,246
7,7,158,116,244,258,17,24,214,18,36,119,197,283,8,83,43,179,44,208,111,257,285,40,289,9,121,148,173,97,246,281
8,8,196,112,2,161,234,103,61,12,215,60,255,213,260,265,247,189,286,292,115,152,16,1,254,48,298,43,135,108,151,172
9,9,56,54,46,24,213,148,67,134,228,215,56,247,35,161,107,97,78,275,11,137,61,83,245,138,87,155,40,79,32,293
10,10,111,22,59,158,135,116,220,160,106,139,204,56,212,171,165,184,68,2,158,171,33,281,134,289,221,289,135,231,126,224
11,11,133,287,245,126,22,140,200,150,195,290,211,275,67,170,177,283,160,258,275,103,171,71,232,282,174,216,32,217,232,20
12,12,169,51,163,42,245,15,38,228,141,29,289,178,2,164,203,279,139,182,266,37,151,87,50,74,249,239,195,148,130,278
13,13,250,11,98,181,276,49,188,80,122,272,237,193,98,199,272,184,118,265,64,95,281,8,88,50,114,80,111,216,86,251
14,14,191,244,188,155,167,280,258,163,183,162,248,54,71,181,94,278,62,23,120,133,215,49,243,77,233,51,14,7,248,144
15,15,298,131,230,262,192,159,199,85,66,60,120,54,57,29,54,48,260,82,25,124,93,191,251,234,60,238,52,177,250,268
