,job,Obj00,Obj10,Obj01,Obj11,Obj02,Obj12,Obj03,Obj13,Obj04,Obj14,Obj05,Obj15,Obj06,Obj16,Obj07,Obj17,Obj08,Obj18,Obj09,Obj19,Obj010,Obj110,Obj011,Obj111,Obj012,Obj112,Obj013,Obj113,Obj014,Obj114
0,0,8,49,18,38,43,22,49,32,10,2,12,48,34,19,15,7,44,32,31,49,10,15,38,22,39,28,12,16,11,11
1,1,46,5,31,4,8,12,47,2,23,34,3,13,39,27,33,28,27,13,48,6,19,18,39,41,16,41,27,33,6,44
2,2,43,6,15,2,3,28,34,27,21,43,43,35,33,2,27,47,27,48,30,19,36,23,10,15,48,13,13,10,37,31
3,3,47,1,2,1,14,6,25,11,11,20,24,30,48,23,5,48,42,2,35,14,47,15,2,10,13,37,19,43,10,18
4,4,30,28,35,44,44,31,2,49,48,9,9,44,8,23,23,30,23,27,46,44,24,1,20,15,38,21,21,41,43,23
5,5,32,30,33,34,37,40,22,5,35,17,27,1,31,40,49,34,24,23,8,19,45,46,16,21,8,43,37,26,20,13
6,6,46,9,3,47,40,31,13,30,35,24,27,45,30,29,11,8,37,15,9,40,14,40,8,5,35,13,26,5,25,9
7,7,46,35,40,8,49,45,31,36,26,39,4,5,27,1,49,6,3,22,47,47,24,40,48,6,9,1,46,35,24,44
8,8,35,12,44,48,24,49,19,11,6,38,2,29,43,19,19,42,33,7,24,41,21,9,15,48,33,34,21,2,35,24
9,9,2,49,34,48,11,26,38,36,7,14,24,27,18,11,24,6,37,3,45,23,25,34,28,33,2,32,3,24,46,48
10,10,14,19,2,49,40,32,47,42,16,48,9,10,2,42,31,14,12,31,26,1,17,41,24,41,26,26,14,22,17,40
11,11,4,21,23,3,12,11,28,43,39,40,7,43,47,41,14,4,38,19,46,32,28,27,15,40,20,37,12,36,35,3
12,12,1,8,8,40,30,32,2,43,47,24,11,19,26,26,20,39,7,12,45,16,45,30,37,45,12,25,2,24,25,47
13,13,17,4,24,11,21,29,42,37,24,20,2,17,37,8,40,12,3,20,28,3,36,30,44,32,44,31,20,45,2,9
14,14,28,45,6,37,32,47,39,7,7,41,36,28,9,31,22,45,16,11,43,9,48,36,45,17,1,11,34,42,2,37
15,15,20,43,33,49,19,46,45,2,20,35,2,37,21,46,20,45,10,8,15,12,40,44,46,14,2,44,38,29,26,38
16,16,17,34,13,18,33,28,7,17,8,28,6,18,7,26,3,32,47,39,39,1,46,8,24,28,33,36,27,15,10,22
17,17,28,14,38,17,23,2,1,46,17,31,8,24,29,44,5,2,47,47,25,39,29,29,27,8,41,18,19,34,36,21
18,18,19,39,22,13,4,42,7,10,49,11,9,5,25,25,29,26,31,41,25,13,40,33,29,25,39,45,28,17,46,3
19,19,4,49,38,7,42,46,41,15,5,47,37,46,37,43,2,46,4,9,22,47,39,18,20,27,17,6,15,3,20,6
20,20,8,19,4,10,19,11,17,38,35,18,47,43,10,12,38,28,28,5,22,32,11,37,44,48,15,20,21,14,28,10
21,21,13,12,31,46,33,41,41,46,38,31,38,48,13,23,34,9,49,3,28,42,21,41,32,19,18,23,6,21,5,41
22,22,26,30,42,31,21,27,47,17,29,22,19,28,4,33,18,38,17,28,36,26,4,40,28,18,36,29,14,38,28,12
23,23,42,11,40,17,17,47,30,24,23,32,6,21,48,6,15,36,12,38,24,44,39,41,5,9,44,19,6,34,16,41
24,24,13,3,6,3,4,29,7,34,41,44,43,10,34,30,42,1,26,35,49,20,17,49,1,30,35,31,40,49,17,20
