,job,Obj00,Obj10,Obj01,Obj11,Obj02,Obj12,Obj03,Obj13,Obj04,Obj14
0,0,49,27,49,3,24,8,43,23,39,29
1,1,13,2,3,29,46,21,41,25,4,17
2,2,32,6,27,32,16,19,5,6,17,43
3,3,26,40,2,35,29,30,16,13,1,34
4,4,1,15,25,47,19,13,21,6,21,8
5,5,10,36,24,42,37,20,27,5,5,47
6,6,36,5,45,4,40,24,19,34,19,6
7,7,14,6,7,26,34,48,8,11,40,29
8,8,8,18,14,44,26,47,27,8,26,28
9,9,49,49,17,23,29,21,49,16,30,49
10,10,12,49,45,42,3,3,17,39,45,33
11,11,25,34,22,20,19,44,24,33,48,3
12,12,12,21,33,33,39,22,37,37,44,9
13,13,24,33,3,49,11,26,8,2,16,48
14,14,22,26,24,22,35,9,37,21,38,10
15,15,40,11,40,4,2,6,13,4,38,44
16,16,3,38,19,19,45,49,12,4,44,9
17,17,8,22,21,27,31,47,45,10,34,1
18,18,45,40,26,21,15,48,20,26,10,7
19,19,20,16,11,42,4,46,45,23,4,10
20,20,10,48,6,33,6,1,21,3,45,12
21,21,49,6,32,2,29,17,16,46,4,5
22,22,4,38,1,36,14,41,37,39,1,47
23,23,5,9,25,12,36,43,26,28,41,45
24,24,22,37,28,18,6,28,28,3,20,33
25,25,15,24,16,36,9,22,33,37,38,29
26,26,44,31,33,15,37,17,19,38,15,25
27,27,47,16,4,9,15,10,46,39,1,2
28,28,9,23,9,25,21,11,10,18,25,29
29,29,18,28,29,19,31,3,42,33,40,36
30,30,5,9,42,7,39,48,9,5,4,40
31,31,44,35,27,44,15,34,38,24,5,20
32,32,14,4,34,26,16,21,45,21,40,45
33,33,30,3,14,1,29,36,45,44,35,36
34,34,36,34,10,40,24,28,23,5,10,8
35,35,47,41,40,11,43,22,35,7,49,46
36,36,36,7,9,17,14,17,40,5,49,8
37,37,25,32,34,39,45,20,23,6,12,25
38,38,8,32,34,4,31,28,23,34,44,9
39,39,41,7,46,13,3,12,30,14,31,39
40,40,49,18,1,20,45,35,4,40,15,19
41,41,23,2,5,10,26,3,7,32,7,16
42,42,42,47,31,46,5,48,35,37,21,43
43,43,33,42,21,20,32,17,27,18,5,17
44,44,47,45,41,10,41,39,43,2,21,42
45,45,17,37,46,40,8,32,49,39,44,29
46,46,18,33,21,39,22,14,32,34,41,14
47,47,6,39,9,3,39,17,3,21,19,3
48,48,26,12,4,37,26,20,29,6,26,20
49,49,41,7,44,3,36,16,19,16,6,21
50,50,26,44,21,9,16,5,21,27,22,24
51,51,33,16,26,41,31,28,30,12,31,28
52,52,13,10,43,7,5,33,9,35,42,7
53,53,39,13,20,35,10,41,25,8,24,6
54,54,19,45,8,48,46,20,25,23,4,31
55,55,24,34,32,17,38,34,31,25,9,48
56,56,16,49,26,33,35,20,6,3,36,6
57,57,25,37,49,34,4,28,17,12,40,35
58,58,4,29,1,26,22,15,33,41,34,17
59,59,39,33,23,49,26,31,5,27,16,44
60,60,8,43,46,19,32,22,12,2,47,12
61,61,5,45,28,30,41,19,12,20,38,5
62,62,30,44,38,39,45,48,33,5,36,37
63,63,44,30,4,26,9,5,40,28,20,3
64,64,16,37,45,24,9,24,29,39,30,3
65,65,21,40,9,2,19,33,23,11,34,47
66,66,22,28,34,41,36,29,22,41,21,25
67,67,21,46,22,39,17,38,39,32,31,16
68,68,21,5,38,7,14,16,47,5,7,42
69,69,32,31,8,30,27,19,24,11,15,4
70,70,48,34,20,17,12,31,11,18,42,27
71,71,11,13,34,43,46,37,33,45,35,33
72,72,17,34,47,11,27,9,38,37,41,8
73,73,12,7,46,15,20,38,6,15,48,24
74,74,1,19,11,4,30,43,7,4,28,44
75,75,43,39,6,31,39,3,1,27,32,42
76,76,30,18,24,4,14,34,39,48,29,5
77,77,43,3,11,45,22,3,19,10,8,19
78,78,4,33,22,1,37,42,10,49,31,33
79,79,38,47,7,26,40,5,30,48,16,26
80,80,26,45,1,8,36,35,21,16,6,45
81,81,11,17,42,47,14,3,25,36,32,3
82,82,5,28,46,41,49,14,39,33,41,35
83,83,18,38,17,46,48,12,18,33,40,20
84,84,21,37,29,49,6,22,32,24,8,1
85,85,8,28,5,2,17,26,22,14,23,23
86,86,36,9,26,24,10,49,42,39,21,17
87,87,32,10,46,31,7,36,36,31,4,37
88,88,12,23,49,38,1,20,30,21,3,23
89,89,14,46,28,49,32,24,31,29,1,4
90,90,27,28,49,29,20,14,32,20,12,9
91,91,15,16,32,24,34,31,10,45,44,25
92,92,6,26,28,33,28,32,31,9,3,32
93,93,45,31,47,26,7,6,26,32,40,33
94,94,30,31,30,28,25,19,41,31,42,1
95,95,7,34,8,36,39,28,29,34,14,12
96,96,24,26,32,29,6,39,13,6,10,30
97,97,40,17,48,11,10,32,2,25,35,39
98,98,13,43,8,43,7,10,35,46,29,2
99,99,4,44,43,7,44,49,19,29,12,21
