,job,Obj00,Obj10,Obj01,Obj11,Obj02,Obj12,Obj03,Obj13,Obj04,Obj14
0,0,6,50,30,26,51,173,5,267,255,237
1,1,288,113,201,229,81,289,260,82,18,195
2,2,208,217,20,191,268,103,291,230,185,144
3,3,112,99,257,220,58,158,131,115,186,36
4,4,138,279,109,69,252,28,229,204,271,87
5,5,60,204,178,296,287,291,197,173,235,147
6,6,292,210,142,266,64,215,153,252,238,152
7,7,244,181,194,243,252,149,267,183,98,278
8,8,5,55,274,181,289,248,277,215,117,154
9,9,233,238,115,211,108,198,5,12,100,179
10,10,47,119,94,3,99,172,219,155,299,291
11,11,294,108,266,198,74,227,118,107,266,246
12,12,15,3,49,229,280,157,168,39,227,217
13,13,113,273,280,56,128,173,131,171,251,189
14,14,28,83,54,279,277,76,243,103,193,22
15,15,59,175,66,241,215,237,267,29,102,147
16,16,147,178,219,132,280,248,257,46,119,34
17,17,142,24,201,178,205,181,93,224,179,225
18,18,182,143,187,96,185,145,283,145,226,21
19,19,175,126,120,69,118,64,220,193,27,178
20,20,35,257,99,30,190,106,74,17,131,116
21,21,86,104,130,8,283,161,106,146,34,67
22,22,178,212,183,184,27,123,107,155,22,181
23,23,287,103,252,16,64,259,236,33,65,222
24,24,162,125,104,163,103,210,263,88,130,110
25,25,169,80,222,207,77,205,17,227,52,209
26,26,121,104,219,167,194,275,117,174,246,178
27,27,197,139,231,256,93,10,84,113,188,272
28,28,178,165,41,50,246,255,71,98,231,54
29,29,191,135,24,281,153,61,18,112,285,84
30,30,100,197,288,293,217,136,177,75,221,99
31,31,183,88,265,182,156,73,8,75,262,11
32,32,80,229,239,242,265,187,219,47,210,156
33,33,167,101,260,164,292,279,151,276,237,189
34,34,247,22,202,265,280,73,293,133,54,258
35,35,120,170,26,244,204,98,144,5,253,228
36,36,182,77,137,19,138,144,60,66,31,16
37,37,163,124,32,12,108,217,96,89,193,266
38,38,182,111,150,171,3,27,1,255,205,82
39,39,81,94,7,12,20,287,60,123,255,70
40,40,73,42,44,239,185,66,174,88,13,2
41,41,81,290,28,168,254,246,292,290,95,211
42,42,93,94,235,210,145,99,101,268,215,217
43,43,146,279,31,33,3,72,90,23,13,94
44,44,124,203,260,236,95,60,210,218,250,213
45,45,103,50,14,12,2,227,138,69,97,151
46,46,150,297,31,273,221,222,126,293,34,291
47,47,249,95,55,113,99,172,64,150,94,271
48,48,265,171,184,9,226,242,71,96,66,11
49,49,99,75,223,97,91,5,155,191,176,177
50,50,176,270,131,48,254,93,15,135,262,293
51,51,92,150,241,9,101,138,119,113,116,95
52,52,62,130,246,191,133,13,1,229,175,72
53,53,28,227,241,202,268,44,115,46,133,57
54,54,13,52,228,42,25,99,117,31,116,281
55,55,224,37,35,188,141,207,235,55,153,83
56,56,140,117,252,116,281,95,264,297,31,158
57,57,77,36,187,82,101,295,87,97,116,30
58,58,168,194,256,278,209,196,104,89,109,69
59,59,115,170,185,100,34,119,296,60,235,285
60,60,115,212,20,232,272,246,140,265,281,248
61,61,263,152,39,12,93,223,79,278,187,299
62,62,87,242,259,95,27,198,128,10,203,50
63,63,248,150,149,87,149,52,196,119,9,142
64,64,164,38,68,292,33,98,212,14,7,144
65,65,195,60,158,246,79,41,127,73,231,290
66,66,276,181,299,161,221,215,175,11,202,70
67,67,99,293,216,254,223,241,161,24,40,250
68,68,35,265,41,117,113,100,87,170,219,191
69,69,234,287,152,53,28,166,107,77,27,189
70,70,258,184,181,256,120,60,199,175,123,122
71,71,77,164,263,283,141,20,45,225,160,196
72,72,189,232,158,97,60,3,72,101,218,76
73,73,256,225,185,270,104,67,213,92,77,133
74,74,268,44,69,274,14,169,12,62,216,71
75,75,251,135,162,122,268,213,58,240,299,136
76,76,90,155,7,225,134,59,104,13,251,9
77,77,8,169,13,66,25,195,190,131,164,77
78,78,211,95,18,25,254,76,105,36,85,258
79,79,175,224,32,166,83,56,219,60,264,93
80,80,246,93,276,62,137,144,157,294,195,65
81,81,109,109,87,270,87,76,265,98,180,176
82,82,19,218,183,100,276,9,55,58,218,119
83,83,85,107,255,206,124,276,6,173,264,138
84,84,266,83,256,37,217,113,188,240,19,200
85,85,39,79,27,97,100,72,248,237,254,98
86,86,45,265,44,11,254,288,272,62,255,205
87,87,47,106,75,124,163,165,71,151,279,259
88,88,210,55,49,70,146,276,275,135,239,184
89,89,180,160,47,113,229,36,168,201,12,16
90,90,27,297,82,282,294,191,168,94,85,272
91,91,16,60,247,41,121,177,261,3,206,189
92,92,147,212,201,92,287,7,114,154,98,98
93,93,180,41,60,41,35,185,139,64,140,52
94,94,43,258,293,2,221,81,85,277,17,217
95,95,246,277,79,203,165,3,224,8,74,101
96,96,110,294,189,268,21,90,246,122,98,207
97,97,29,216,105,204,5,143,252,295,124,211
98,98,277,86,187,111,233,81,16,56,264,274
99,99,82,44,60,94,235,24,218,164,134,165
100,100,180,225,170,177,39,172,179,283,238,253
101,101,128,159,284,40,143,183,205,166,35,241
102,102,24,266,157,195,58,247,135,14,88,12
103,103,295,141,241,265,241,18,87,236,137,137
104,104,119,99,271,188,220,117,154,251,181,262
105,105,215,223,6,122,118,197,207,16,248,112
106,106,85,88,245,257,142,9,267,69,77,87
107,107,68,115,198,11,266,64,194,135,294,205
108,108,245,250,272,91,127,126,237,130,218,211
109,109,79,278,15,2,95,287,116,109,96,263
110,110,194,243,161,14,154,240,126,140,235,156
111,111,19,156,10,76,233,138,219,111,99,62
112,112,267,11,61,287,51,33,3,40,121,107
113,113,89,75,75,154,37,129,252,61,16,299
114,114,272,263,228,125,107,250,158,182,299,180
115,115,294,263,181,228,198,147,262,38,12,233
116,116,96,242,194,99,172,251,196,124,59,9
117,117,58,61,251,192,275,89,61,238,287,238
118,118,168,104,295,97,48,1,109,205,224,16
119,119,278,127,237,47,16,104,136,22,27,31
120,120,240,45,86,115,95,166,270,239,163,247
121,121,231,119,153,163,157,29,23,114,281,299
122,122,24,136,210,40,210,33,146,13,80,73
123,123,239,284,297,217,179,12,82,267,252,32
124,124,233,72,18,101,33,167,77,83,32,261
125,125,235,273,209,112,7,218,51,52,227,181
126,126,206,15,228,132,99,292,40,39,249,274
127,127,282,15,102,119,46,225,163,170,160,276
128,128,153,232,244,265,77,194,135,273,285,295
129,129,272,19,96,263,235,204,180,38,252,113
130,130,299,101,63,291,202,59,20,279,118,174
131,131,201,59,231,220,232,47,220,260,230,283
132,132,67,121,65,231,267,83,269,147,160,247
133,133,99,199,60,155,138,210,42,234,180,155
134,134,187,249,296,217,247,297,156,49,129,189
135,135,80,279,222,33,32,133,253,78,68,38
136,136,292,46,25,135,239,30,103,274,37,241
137,137,262,280,50,274,32,173,105,138,295,39
138,138,27,259,103,25,44,17,222,21,44,253
139,139,90,54,246,56,31,48,203,291,94,125
140,140,130,150,295,232,274,200,59,106,132,115
141,141,287,69,130,81,265,256,283,45,184,1
142,142,278,206,150,80,110,73,217,279,149,96
143,143,162,54,296,22,26,253,162,162,170,207
144,144,135,283,101,81,107,64,31,244,13,47
145,145,244,31,247,264,147,264,110,28,196,283
146,146,209,160,160,126,9,53,89,120,77,14
147,147,245,127,229,120,147,120,126,148,24,228
148,148,198,25,105,213,87,8,296,91,86,253
149,149,159,90,231,81,40,145,287,155,227,110
150,150,284,229,220,37,189,71,153,106,227,63
151,151,143,76,229,148,86,46,223,239,192,30
152,152,143,190,36,128,196,2,187,197,290,91
153,153,140,20,259,199,62,32,254,137,292,207
154,154,201,153,91,89,29,89,84,86,83,14
155,155,143,43,201,153,168,204,127,172,249,281
156,156,38,195,197,103,77,250,290,24,40,201
157,157,94,21,220,161,34,93,116,146,15,285
158,158,140,182,256,150,113,293,78,16,212,248
159,159,217,39,174,55,51,172,72,10,60,100
160,160,261,205,75,120,200,162,135,230,124,24
161,161,259,127,76,35,100,147,95,79,239,229
162,162,264,251,189,32,233,41,295,13,234,118
163,163,103,291,194,265,132,142,252,126,236,255
164,164,143,26,149,96,109,91,26,43,72,118
165,165,15,237,136,61,170,177,73,4,240,163
166,166,151,77,4,175,36,41,22,257,250,182
167,167,134,235,46,121,286,98,63,160,216,214
168,168,219,50,36,40,164,155,208,226,205,205
169,169,98,162,50,8,275,21,272,88,133,45
170,170,210,130,279,36,283,84,80,250,83,187
171,171,207,275,256,71,254,127,201,247,8,81
172,172,187,71,192,282,84,243,280,78,225,284
173,173,45,87,96,226,94,81,82,121,221,191
174,174,92,78,23,201,17,257,120,243,26,4
175,175,266,263,243,271,3,10,115,65,55,115
176,176,239,111,116,121,160,273,163,76,266,76
177,177,294,109,86,239,190,254,279,39,127,220
178,178,126,275,1,62,5,295,42,283,73,294
179,179,59,90,98,203,170,74,290,45,159,81
180,180,279,197,34,82,290,251,104,40,213,2
181,181,150,106,258,142,168,168,200,8,151,50
182,182,2,16,234,154,45,185,264,143,125,208
183,183,50,81,261,132,12,150,245,168,101,203
184,184,269,176,221,214,285,103,43,140,43,4
185,185,47,214,36,124,249,181,37,58,126,28
186,186,127,37,14,61,82,32,195,51,118,20
187,187,256,134,193,118,110,22,260,193,178,21
188,188,97,183,74,258,32,208,87,180,185,92
189,189,157,150,215,224,210,219,29,2,247,133
190,190,99,51,176,193,277,120,212,36,90,193
191,191,139,170,3,264,234,10,242,78,209,3
192,192,239,209,143,202,176,225,123,66,24,290
193,193,98,137,30,291,222,115,218,126,22,139
194,194,173,143,84,260,118,24,102,144,159,288
195,195,185,132,2,30,208,295,123,245,161,295
196,196,22,259,69,3,266,156,127,41,97,157
197,197,220,162,76,267,176,77,234,88,257,205
198,198,201,268,14,260,28,148,152,208,193,95
199,199,269,164,20,165,11,118,126,172,296,243
