,job,Obj00,Obj10,Obj01,Obj11,Obj02,Obj12,Obj03,Obj13,Obj04,Obj14
0,0,44,35,20,50,14,37,52,78,82,41
1,1,91,19,91,39,28,10,80,23,2,68
2,2,95,6,64,79,23,23,19,31,39,91
3,3,56,1,73,68,79,86,26,90,18,83
4,4,14,78,74,21,13,43,13,11,8,44
5,5,43,10,70,32,93,67,9,23,57,36
6,6,46,59,69,49,77,21,21,77,45,83
7,7,90,55,70,66,55,92,67,31,77,77
8,8,46,55,80,53,51,12,42,55,23,76
9,9,19,46,92,64,87,98,18,57,88,23
10,10,7,89,25,72,37,50,16,6,88,49
11,11,60,80,31,10,97,82,22,51,47,75
12,12,55,77,84,6,58,29,35,26,76,23
13,13,12,60,18,53,46,70,79,21,47,31
14,14,48,30,18,54,93,88,37,55,61,38
15,15,32,74,57,10,43,50,53,22,34,50
16,16,80,76,65,23,17,46,72,5,8,6
17,17,74,68,37,77,61,63,12,32,30,55
18,18,80,38,85,1,54,22,16,66,38,36
19,19,80,19,21,9,95,5,14,62,75,46
20,20,99,34,81,41,63,84,60,9,1,83
21,21,77,83,87,85,10,69,11,35,61,28
22,22,26,12,81,55,24,68,63,24,26,69
23,23,52,8,9,73,74,33,44,58,55,40
24,24,92,73,55,91,56,46,11,46,77,1
25,25,28,51,3,9,41,3,36,87,64,19
26,26,67,47,55,62,95,38,7,33,85,22
27,27,26,12,97,63,80,51,43,20,92,2
28,28,56,26,91,34,14,30,15,79,8,28
29,29,6,9,24,28,10,80,44,65,37,44
30,30,13,49,75,54,34,85,40,2,79,24
31,31,23,54,32,9,23,57,47,59,59,25
32,32,43,12,37,83,50,80,41,19,11,38
33,33,26,42,78,30,65,20,61,47,77,3
34,34,19,16,80,73,38,21,6,42,64,79
35,35,91,6,18,43,45,74,4,3,55,42
36,36,42,86,88,70,32,78,17,33,42,68
37,37,38,38,51,54,75,80,36,30,83,30
38,38,56,49,94,6,2,21,47,51,60,74
39,39,69,5,37,42,34,30,28,68,16,25
40,40,7,15,66,51,23,61,92,8,51,70
41,41,15,89,86,36,10,98,94,53,81,39
42,42,45,54,18,49,45,90,80,41,60,9
43,43,88,14,60,79,90,54,45,34,49,73
44,44,43,99,32,48,29,94,8,22,59,68
45,45,98,33,60,33,12,61,21,77,84,98
46,46,65,41,30,62,41,97,70,87,11,3
47,47,36,8,21,30,28,31,13,93,43,39
48,48,39,77,19,11,13,35,61,89,29,71
49,49,28,89,44,64,20,92,18,49,5,80
50,50,12,73,57,67,80,25,18,95,27,19
51,51,7,28,4,52,75,99,51,55,59,54
52,52,5,79,72,69,47,58,2,79,77,28
53,53,1,3,77,74,51,54,30,65,22,43
54,54,16,66,16,86,38,84,58,2,61,76
55,55,54,66,81,4,70,33,99,52,3,66
56,56,91,15,30,35,1,83,19,92,47,12
57,57,67,80,37,23,85,25,86,49,21,12
58,58,9,48,1,69,87,47,37,34,1,90
59,59,27,77,71,35,31,16,75,13,90,58
60,60,40,61,30,68,62,42,27,5,90,27
61,61,3,92,96,83,76,28,19,2,59,35
62,62,82,7,85,85,22,16,67,55,36,9
63,63,82,94,35,34,98,50,16,86,61,60
64,64,32,71,81,15,26,9,24,50,23,36
65,65,78,5,14,75,67,65,83,12,72,96
66,66,78,27,38,73,39,69,16,4,24,98
67,67,31,29,49,80,58,88,59,61,64,3
68,68,57,10,59,61,92,42,86,80,43,99
69,69,49,37,54,80,96,71,29,19,22,12
70,70,1,38,56,78,77,29,94,73,97,44
71,71,95,58,96,26,99,7,12,19,45,62
