,job,Obj00,Obj10,Obj01,Obj11,Obj02,Obj12,Obj03,Obj13,Obj04,Obj14,Obj05,Obj15,Obj06,Obj16,Obj07,Obj17,Obj08,Obj18,Obj09,Obj19,Obj010,Obj110,Obj011,Obj111,Obj012,Obj112,Obj013,Obj113,Obj014,Obj114
0,0,27,21,35,43,18,32,9,13,12,40,48,46,11,34,42,17,45,6,46,27,15,3,17,8,43,33,6,41,44,44
1,1,28,30,28,26,40,5,24,48,1,47,25,37,21,5,8,20,42,44,32,3,7,8,27,34,40,46,25,28,37,8
2,2,46,44,29,2,18,40,5,38,17,35,33,12,49,10,44,14,10,25,33,44,39,1,21,6,40,47,26,42,47,8
3,3,8,45,22,12,39,30,1,22,9,25,23,32,37,49,28,46,42,45,26,6,13,21,16,15,38,23,37,28,46,41
4,4,4,1,20,25,33,42,25,5,34,36,36,31,23,9,5,46,29,12,46,32,2,34,7,3,44,42,28,16,4,16
5,5,21,36,39,19,46,46,35,29,35,46,46,14,42,42,18,29,7,5,31,29,33,42,33,2,44,23,7,18,19,21
6,6,7,5,32,27,35,2,18,28,6,31,33,35,22,7,27,27,37,24,46,1,7,9,14,4,42,38,27,17,17,9
7,7,32,29,39,44,33,14,33,31,14,2,40,14,4,13,39,28,22,7,1,11,15,6,5,42,20,12,11,25,16,47
8,8,23,45,26,22,35,38,25,48,29,48,4,40,15,47,18,33,3,8,14,16,8,37,43,44,14,8,7,23,3,15
9,9,48,46,18,49,44,4,42,14,20,14,16,14,23,5,10,38,30,38,5,49,10,40,23,43,34,47,32,5,45,3
10,10,8,29,7,44,6,18,2,35,27,5,45,16,3,12,42,25,1,38,5,48,21,33,15,32,33,24,23,15,20,40
11,11,15,33,14,47,36,49,39,17,15,16,16,31,38,6,12,47,16,14,5,46,43,11,35,48,43,16,30,2,1,10
12,12,43,10,34,19,38,3,8,36,21,34,20,9,13,8,2,36,38,41,19,3,12,23,48,30,38,33,2,39,4,28
13,13,26,40,4,1,28,23,8,16,8,23,35,37,42,32,25,45,46,36,20,6,42,13,34,32,1,14,35,4,39,27
14,14,4,37,6,21,22,38,2,36,34,37,12,1,39,15,19,44,39,36,43,37,35,15,1,1,9,16,15,49,4,49
15,15,13,5,33,16,28,36,48,33,43,22,47,34,16,42,26,47,32,16,27,2,20,30,26,22,44,34,49,48,14,30
16,16,28,40,23,19,37,13,48,13,45,38,5,27,24,13,20,26,25,5,22,49,13,45,23,21,22,20,7,25,4,4
17,17,27,49,15,12,21,23,3,24,10,19,18,34,25,7,32,27,44,14,18,11,10,41,48,24,20,30,48,28,42,16
18,18,10,49,19,7,29,11,12,37,13,29,45,36,25,26,4,38,22,5,47,28,47,35,15,41,26,12,1,31,43,34
19,19,2,29,32,16,12,20,28,37,10,42,23,19,41,43,26,33,39,40,9,47,28,39,30,2,11,15,47,40,5,41
20,20,18,31,44,11,9,46,29,28,8,31,29,21,28,10,43,31,40,5,41,46,39,38,14,49,34,18,45,34,13,16
21,21,1,48,40,38,21,43,14,16,10,33,2,32,33,27,6,38,44,42,27,5,29,33,23,26,21,44,9,20,38,43
22,22,45,39,20,31,39,22,38,6,6,17,11,17,44,7,8,13,16,26,24,3,10,20,28,48,12,17,43,47,4,18
23,23,46,44,17,38,4,3,46,48,36,19,43,17,34,24,48,10,9,45,25,48,4,39,41,30,17,39,26,40,17,32
24,24,28,13,29,7,42,12,47,46,48,8,13,49,22,27,42,5,41,38,36,28,26,11,9,31,47,42,16,18,36,34
25,25,29,15,16,40,24,3,29,2,2,14,15,11,7,44,41,37,6,17,32,28,26,9,18,45,29,45,6,26,25,36
26,26,19,8,8,10,19,4,43,32,21,9,48,18,38,39,9,30,46,5,38,21,22,30,17,43,12,13,42,9,42,35
27,27,47,21,16,29,23,6,36,16,38,46,31,1,40,19,47,9,30,30,43,42,2,13,21,9,27,29,19,46,45,35
28,28,17,24,3,31,2,13,41,15,16,25,36,38,36,43,9,4,18,20,20,49,15,10,16,38,44,4,43,40,12,35
29,29,41,33,11,24,19,35,1,9,41,44,4,31,49,47,20,35,28,7,2,32,36,24,39,7,1,48,42,30,32,44
30,30,16,24,8,21,39,6,32,19,37,39,6,47,18,19,20,28,23,26,20,35,7,4,9,46,24,23,44,3,3,30
31,31,33,43,8,20,43,2,47,39,18,47,40,33,19,14,29,39,29,6,23,44,48,26,18,22,28,28,38,35,24,8
32,32,30,34,41,35,10,2,20,38,23,12,26,15,16,10,29,6,11,14,30,25,22,32,47,44,10,32,21,33,36,4
33,33,22,40,11,7,34,49,45,46,16,45,11,25,10,6,20,26,8,7,21,38,22,23,40,47,24,23,27,35,38,47
34,34,23,37,49,45,35,46,8,4,8,6,45,12,42,43,27,28,39,45,18,12,11,45,8,29,33,3,34,11,2,12
35,35,22,22,29,15,42,35,28,14,3,36,33,14,32,19,41,24,7,48,41,11,17,7,19,42,21,30,48,42,20,7
36,36,41,30,29,45,11,19,40,39,37,10,34,1,21,15,5,8,27,14,2,41,21,4,24,18,42,24,19,47,6,18
37,37,15,11,40,10,8,2,30,34,42,29,14,10,37,46,49,36,11,7,44,42,5,35,6,28,25,23,2,27,1,37
38,38,28,7,21,11,38,8,14,40,4,43,17,43,47,47,21,39,1,39,38,27,1,19,6,23,27,37,15,5,42,44
39,39,24,18,21,44,18,44,32,12,39,26,40,1,33,47,38,24,22,13,45,30,3,35,3,8,23,18,14,39,31,32
40,40,38,5,32,14,38,25,4,30,22,31,2,1,20,31,45,13,26,14,39,4,1,47,42,7,35,46,24,19,4,31
41,41,32,19,22,9,9,37,3,1,16,37,38,35,10,30,34,5,40,19,38,46,6,13,9,35,36,2,35,28,7,20
42,42,38,32,41,28,8,4,43,4,20,27,32,11,3,49,2,44,27,2,10,32,46,6,25,45,15,10,13,4,37,4
43,43,3,46,23,6,24,11,21,5,19,8,10,29,10,20,8,5,39,20,11,47,32,29,3,35,15,14,48,17,36,20
44,44,25,3,14,7,13,5,20,29,6,30,34,26,6,16,11,14,6,48,9,38,9,22,22,20,40,41,8,4,44,27
45,45,24,16,31,17,11,35,12,48,25,34,15,39,4,39,19,32,39,26,23,3,2,8,37,15,4,32,47,23,2,3
