,job,Obj00,Obj10,Obj01,Obj11,Obj02,Obj12,Obj03,Obj13,Obj04,Obj14,Obj05,Obj15,Obj06,Obj16,Obj07,Obj17,Obj08,Obj18,Obj09,Obj19,Obj010,Obj110,Obj011,Obj111,Obj012,Obj112,Obj013,Obj113,Obj014,Obj114
0,0,59,13,38,71,15,25,8,1,4,71,37,10,93,7,22,65,43,37,43,97,65,37,15,33,99,81,15,43,11,3
1,1,31,52,78,89,18,84,66,3,63,71,87,95,73,9,56,65,73,91,2,17,86,32,61,98,8,56,76,60,88,72
2,2,38,46,74,9,96,72,53,97,86,69,53,57,87,71,84,6,22,64,88,80,70,24,7,98,14,19,20,67,17,92
3,3,31,4,38,15,3,72,72,25,29,19,9,68,49,34,49,84,59,78,98,62,12,82,8,7,48,90,48,7,39,24
4,4,1,8,66,37,47,60,1,8,12,43,74,46,36,57,89,62,19,54,11,61,21,62,42,61,39,7,10,9,76,36
5,5,26,71,54,19,80,36,58,75,46,69,15,68,36,44,95,39,27,15,54,54,99,12,34,73,45,45,71,20,2,41
6,6,47,20,95,87,41,55,25,11,84,53,66,71,48,44,82,76,9,3,12,86,11,58,19,69,68,84,4,95,60,71
7,7,28,28,40,66,50,98,80,97,68,20,60,52,8,97,65,24,92,61,69,30,29,60,97,51,7,90,7,87,15,28
8,8,94,18,43,37,75,28,63,47,54,64,85,96,97,68,44,23,94,92,27,31,80,49,16,99,2,36,87,98,84,71
9,9,27,55,45,90,27,47,58,82,32,3,31,48,17,76,64,73,17,71,76,39,98,40,76,23,64,56,95,19,97,82
10,10,58,74,17,4,64,23,36,13,74,15,98,42,20,69,82,11,23,93,99,20,6,20,57,24,30,8,31,67,68,91
11,11,71,47,58,76,30,88,99,75,27,2,77,63,63,78,14,49,77,78,59,43,16,34,34,26,21,51,11,22,78,83
12,12,76,28,24,98,60,18,39,39,21,95,45,51,41,86,46,3,87,87,7,93,82,84,50,24,69,89,27,74,44,9
13,13,24,60,4,10,28,98,56,95,20,67,72,1,51,78,94,59,45,34,56,89,80,66,51,11,97,6,59,4,40,44
14,14,3,22,67,88,28,56,72,13,99,53,56,2,59,82,77,42,33,93,11,41,12,50,76,61,44,74,83,98,26,98
15,15,7,78,4,19,15,57,32,22,29,43,10,90,3,23,34,84,67,17,38,98,90,25,43,96,33,63,1,95,54,46
16,16,78,2,50,98,76,25,76,21,88,5,60,84,17,8,99,45,27,72,99,21,44,82,37,82,17,26,8,33,1,99
17,17,10,97,99,79,46,59,5,9,60,86,36,37,43,79,50,17,32,63,57,40,24,35,7,22,56,62,63,79,69,20
18,18,10,14,80,5,56,87,33,19,84,73,23,75,31,2,85,69,39,15,51,65,21,16,7,71,80,76,79,99,2,51
19,19,15,63,42,36,50,86,90,84,40,70,46,72,28,95,99,53,15,9,97,35,34,3,51,19,95,63,81,59,23,7
20,20,43,64,20,53,56,49,46,45,18,8,60,54,97,30,83,37,53,98,91,26,93,29,59,12,27,72,70,5,29,14
21,21,47,68,45,19,53,11,89,18,38,12,25,60,75,31,79,41,8,13,6,48,64,93,75,3,5,20,6,76,8,83
22,22,52,43,1,11,17,72,7,85,57,67,7,50,76,89,2,54,7,3,9,10,6,1,61,5,95,15,30,79,86,48
23,23,32,57,62,14,44,7,19,9,79,39,2,72,66,93,32,23,21,44,87,91,86,59,73,62,62,4,12,49,59,98
