,job,Obj00,Obj10,Obj01,Obj11,Obj02,Obj12,Obj03,Obj13,Obj04,Obj14,Obj05,Obj15,Obj06,Obj16,Obj07,Obj17,Obj08,Obj18,Obj09,Obj19
0,0,14,38,4,2,47,17,41,29,1,28,9,12,17,6,49,42,9,22,33,36
1,1,29,3,44,22,47,43,22,37,41,22,31,22,37,1,37,46,12,39,38,34
2,2,47,45,20,46,21,7,45,4,6,25,6,2,49,15,15,30,24,28,42,45
3,3,36,20,47,31,26,26,16,34,38,30,17,17,46,35,37,33,44,4,28,34
4,4,8,41,46,30,8,10,38,28,30,19,3,21,47,9,48,5,9,18,17,23
5,5,40,29,4,23,32,31,4,7,15,7,13,35,20,28,22,29,1,8,46,15
6,6,23,17,37,35,7,29,3,11,15,40,45,5,22,28,18,4,14,10,22,20
7,7,39,20,30,7,27,5,12,8,37,49,12,37,18,18,42,26,35,24,19,4
8,8,25,37,36,26,10,13,39,3,3,30,35,23,44,22,48,16,32,11,12,28
9,9,46,20,35,3,16,6,34,39,39,12,18,35,42,33,3,13,9,12,46,3
10,10,17,45,15,41,40,21,44,36,17,48,3,17,32,40,17,31,2,42,44,12
11,11,8,48,44,47,12,43,2,40,12,5,8,21,26,49,1,34,33,46,48,17
12,12,18,17,24,4,8,12,26,10,42,12,37,39,23,26,4,26,18,35,31,48
13,13,21,15,34,40,23,35,42,35,22,17,33,17,28,37,20,32,49,36,34,38
14,14,23,34,39,10,38,33,39,30,46,30,35,19,11,34,1,47,46,11,45,20
15,15,5,21,26,4,48,38,41,49,12,3,1,23,10,46,39,12,47,24,43,14
16,16,4,29,22,1,4,22,47,39,9,14,11,21,18,35,42,27,25,15,42,8
17,17,18,44,43,46,37,9,47,43,47,8,27,12,33,18,8,44,49,25,24,14
18,18,5,21,4,13,25,31,44,7,27,13,15,40,27,43,43,30,29,18,2,3
19,19,7,28,47,22,24,7,14,23,26,19,4,40,15,27,46,17,3,8,36,38
20,20,16,46,48,47,8,29,43,25,12,39,30,4,44,9,43,37,1,11,31,2
21,21,46,28,3,14,24,36,8,46,30,28,30,17,32,38,26,12,27,46,47,17
22,22,4,49,44,46,5,22,33,2,4,8,19,2,17,1,8,10,21,44,22,31
23,23,47,2,43,25,1,17,21,18,17,12,46,18,45,44,35,41,41,42,16,43
24,24,24,11,6,28,35,5,37,6,23,22,1,30,28,1,7,41,11,39,46,31
25,25,43,44,31,3,32,11,49,46,5,2,19,25,17,43,22,17,8,11,1,8
26,26,38,41,47,29,20,15,37,31,31,29,15,44,41,7,14,49,4,30,16,14
27,27,16,45,8,43,4,42,19,26,16,15,40,19,28,44,10,35,33,25,30,7
28,28,32,13,22,26,40,19,39,7,1,28,27,24,15,37,43,10,43,37,29,12
29,29,24,25,14,28,49,34,38,22,28,16,12,33,35,22,3,6,31,10,33,23
30,30,14,5,16,41,22,33,13,21,41,27,7,2,13,16,6,35,6,22,47,34
31,31,27,38,41,20,9,42,19,28,19,23,18,20,1,14,20,36,26,13,2,37
32,32,11,12,47,22,33,46,46,42,35,38,29,30,32,46,12,32,6,5,12,16
33,33,41,41,42,29,7,44,39,15,17,31,28,21,46,21,11,49,28,39,48,42
34,34,35,13,37,21,28,1,10,27,15,45,5,33,21,39,35,23,31,33,41,1
35,35,24,2,49,23,44,7,43,43,4,6,9,23,42,31,34,14,18,33,23,24
36,36,48,46,2,20,13,22,29,20,31,41,13,10,15,45,15,4,15,35,14,22
37,37,40,29,13,37,29,5,27,25,33,49,40,48,10,29,47,5,49,32,31,23
38,38,39,38,25,34,16,39,8,20,29,30,24,8,23,28,2,35,34,47,16,47
39,39,16,3,8,13,24,4,13,18,30,17,45,39,20,40,37,35,47,4,44,36
40,40,7,34,7,4,17,2,19,17,12,47,46,40,23,32,20,7,44,36,18,44
41,41,40,49,5,9,28,18,6,39,34,45,43,16,31,27,34,24,15,41,30,18
42,42,45,31,8,38,39,17,43,5,24,7,45,36,12,19,42,32,22,44,45,39
43,43,34,34,43,30,49,31,20,15,26,33,31,23,37,44,9,38,13,31,35,11
44,44,39,46,28,38,48,38,35,32,38,15,14,13,23,12,23,1,10,36,46,15
45,45,47,7,5,19,1,14,20,29,22,21,26,31,45,19,4,35,31,8,32,37
46,46,42,46,36,5,22,46,22,21,4,25,30,11,15,35,44,21,42,24,19,12
47,47,4,39,34,35,46,45,29,5,45,39,17,45,14,45,28,20,23,4,25,6
48,48,49,3,26,49,41,45,19,29,39,24,30,16,42,42,15,26,37,44,39,17
49,49,27,48,8,7,48,27,5,28,12,32,43,13,29,4,7,46,16,18,20,2
50,50,20,46,39,38,35,32,12,43,4,29,7,15,36,37,30,48,23,36,14,27
51,51,4,37,47,5,25,44,13,30,3,37,45,5,33,9,49,46,40,16,20,3
52,52,43,34,45,34,44,26,28,16,22,42,5,14,6,17,47,29,19,34,3,23
53,53,28,41,21,11,2,27,3,46,18,22,3,16,45,20,5,43,28,38,35,2
54,54,3,23,38,8,21,3,34,15,18,29,2,14,40,42,26,27,35,25,21,32
55,55,39,44,24,19,11,34,47,33,6,39,3,47,31,11,35,47,22,33,5,46
56,56,45,27,15,22,44,34,6,13,2,19,19,15,33,42,26,4,45,48,19,28
57,57,12,44,32,40,27,42,35,21,38,41,14,46,32,48,15,30,10,6,39,6
58,58,44,17,17,10,12,4,41,20,6,7,30,40,41,44,42,35,18,7,30,49
59,59,30,32,13,19,2,44,28,11,8,29,6,42,11,25,5,34,41,10,26,29
60,60,19,33,34,11,42,37,37,7,45,28,15,44,7,20,33,8,19,2,5,10
61,61,43,28,16,22,19,9,47,6,41,21,1,27,32,46,32,29,22,18,9,1
62,62,47,41,36,24,42,3,7,3,42,13,27,25,9,35,6,29,44,41,38,18
63,63,10,47,10,27,2,8,24,27,15,10,42,12,9,34,43,5,13,24,18,20
64,64,25,11,17,32,22,49,10,32,31,8,25,32,10,43,20,40,3,46,23,28
65,65,25,4,42,33,34,13,31,11,34,7,21,12,24,47,48,45,16,2,37,20
66,66,10,19,45,37,3,35,17,23,39,2,19,29,15,44,31,35,7,25,7,36
67,67,26,16,2,19,15,37,17,10,31,46,46,12,18,3,29,29,40,32,14,45
68,68,41,41,27,35,11,30,10,25,34,7,26,38,40,47,43,20,45,35,17,35
69,69,23,6,48,48,47,9,17,8,36,48,13,23,39,23,14,5,28,30,5,15
70,70,10,13,20,34,21,17,28,5,23,42,22,3,47,27,46,46,29,13,19,3
71,71,13,26,47,22,5,4,1,35,36,29,21,31,5,35,24,13,31,46,10,6
72,72,45,29,45,41,18,12,33,27,23,1,15,34,32,17,4,25,9,8,46,7
73,73,42,13,26,43,38,21,46,10,43,30,21,34,4,25,16,22,14,6,2,27
74,74,36,6,35,21,16,44,15,4,20,23,33,16,33,38,4,39,35,40,30,13
75,75,46,12,30,29,29,41,37,44,20,29,2,17,25,26,37,48,25,31,33,20
76,76,15,1,41,9,45,10,34,6,1,26,17,3,9,2,45,46,17,38,27,8
77,77,3,34,6,33,29,18,44,14,16,12,40,37,37,16,34,36,37,49,31,28
78,78,16,8,45,39,14,41,30,16,40,2,9,27,28,5,12,26,17,8,33,22
79,79,4,13,28,36,36,19,48,40,7,22,28,8,8,34,37,23,47,21,43,13
80,80,47,37,10,4,27,45,23,29,28,44,3,19,31,43,31,41,26,33,14,8
81,81,22,45,6,48,43,5,31,48,9,10,48,27,38,39,46,14,8,22,30,11
82,82,44,38,42,7,8,19,42,15,44,37,46,6,42,34,13,13,7,14,23,31
83,83,41,21,28,10,21,33,15,12,9,45,47,9,7,9,12,32,46,6,3,27
84,84,47,25,24,27,30,1,34,43,26,29,30,33,18,45,48,2,36,7,39,19
85,85,44,36,32,25,49,44,41,37,37,10,14,15,28,3,11,9,18,14,22,39
86,86,11,16,17,47,16,12,3,6,30,3,11,46,9,20,23,3,17,18,7,16
87,87,28,30,6,23,18,4,43,45,36,5,43,12,22,39,38,26,3,47,26,25
88,88,13,35,14,46,26,13,40,16,27,15,24,11,12,23,21,27,33,4,20,27
89,89,14,1,3,32,10,27,8,27,4,15,18,13,10,15,16,21,39,25,17,43
90,90,5,37,42,31,45,28,39,42,46,39,33,2,8,1,34,47,23,40,3,46
91,91,32,18,38,39,6,1,43,16,5,34,8,41,47,9,49,24,6,29,38,3
92,92,42,44,35,3,42,2,20,33,26,40,33,34,44,17,18,13,10,18,7,24
93,93,10,20,2,3,22,14,42,38,11,36,37,38,22,10,25,27,6,26,25,29
94,94,20,35,34,3,7,41,37,9,40,25,24,12,47,27,38,28,40,24,6,14
95,95,49,48,21,12,25,14,2,23,26,39,2,33,47,19,41,14,41,22,41,26
96,96,27,27,10,20,37,28,3,41,3,8,7,31,12,26,2,15,40,29,40,41
97,97,45,25,45,20,23,13,15,25,17,41,48,24,11,49,11,43,28,45,47,25
98,98,25,35,21,14,49,24,13,28,45,27,23,31,6,22,13,6,39,49,49,28
99,99,20,32,15,34,39,45,36,19,47,32,34,18,47,9,43,35,14,16,10,27
100,100,15,10,7,18,13,37,47,35,10,48,46,35,22,49,8,22,32,32,36,10
101,101,28,15,4,20,33,1,40,5,42,15,2,20,43,15,6,22,4,2,8,39
102,102,17,6,6,43,35,42,49,25,40,45,8,27,25,43,19,48,11,9,11,7
103,103,14,24,23,36,29,48,28,36,5,35,41,47,10,29,10,39,13,7,7,46
104,104,43,30,44,40,6,35,14,23,47,27,3,17,21,19,12,7,6,29,47,8
105,105,19,19,45,42,14,9,10,23,15,33,26,41,8,21,33,42,23,39,17,24
106,106,33,28,42,6,45,6,1,25,27,33,31,17,2,32,25,38,31,10,12,21
107,107,38,31,20,12,29,16,10,42,23,40,1,23,27,29,18,31,33,6,4,5
108,108,13,21,9,14,25,47,12,33,10,45,5,28,2,43,43,19,4,33,47,10
109,109,12,37,48,38,1,24,14,25,3,14,40,8,48,33,37,11,1,30,11,27
110,110,43,22,27,49,24,4,14,30,39,45,48,34,49,11,10,30,16,27,13,17
111,111,35,12,23,6,25,39,37,22,17,30,45,25,12,18,12,6,45,27,49,31
112,112,7,11,34,16,18,44,14,10,5,48,48,1,20,5,31,49,3,16,13,10
113,113,44,10,6,19,4,23,46,35,42,35,16,45,23,18,22,46,47,49,7,34
114,114,42,35,21,8,39,11,25,31,38,16,3,25,49,35,19,29,10,26,8,45
115,115,46,37,35,15,10,8,13,36,18,17,33,29,23,40,29,2,32,7,33,34
116,116,41,16,16,16,16,30,21,20,45,34,25,20,29,35,30,20,18,34,30,16
117,117,46,32,44,32,34,30,29,24,31,22,41,2,30,25,15,46,22,3,30,5
118,118,27,13,27,21,18,29,25,5,21,3,17,25,38,45,41,32,37,12,21,35
119,119,3,20,12,6,38,6,44,9,37,2,12,40,46,40,31,15,37,30,33,12
120,120,26,39,36,40,31,16,22,23,16,38,43,12,35,48,3,46,25,49,40,9
121,121,49,38,28,13,28,42,12,13,4,34,43,43,12,25,40,15,16,17,29,45
122,122,23,47,1,34,6,40,22,37,48,19,15,33,24,21,21,10,49,36,33,22
123,123,8,30,37,12,44,26,9,3,35,35,18,7,48,38,25,36,26,36,2,5
124,124,48,25,30,38,12,25,1,4,34,39,46,27,31,18,39,15,33,36,18,22
125,125,6,38,47,2,10,48,47,33,4,43,21,22,34,35,46,18,34,3,5,9
126,126,14,48,30,15,22,10,1,27,45,35,12,15,47,5,26,28,5,38,43,25
127,127,11,12,31,3,33,28,29,9,33,43,48,20,17,40,31,17,49,26,10,39
128,128,16,21,26,31,18,35,3,13,16,32,16,28,16,47,2,14,9,8,35,49
129,129,17,29,4,3,15,1,8,32,20,46,6,31,10,9,41,12,26,41,30,14
130,130,48,15,6,23,28,11,46,40,46,21,5,44,12,45,38,31,48,49,42,41
131,131,8,22,7,43,20,6,38,5,17,26,35,41,29,48,23,47,45,47,31,17
132,132,34,25,19,8,26,1,11,39,14,2,12,27,36,9,2,24,3,49,10,36
133,133,5,40,39,43,40,49,49,18,21,7,49,30,42,38,34,2,25,16,38,45
134,134,4,20,17,39,30,11,36,18,17,4,1,27,39,3,29,28,45,38,40,20
135,135,3,11,32,2,33,28,2,6,24,15,23,40,47,25,8,17,14,38,29,12
136,136,22,26,5,8,17,15,47,29,1,37,26,8,8,21,21,7,48,7,28,15
137,137,32,7,38,17,1,18,44,27,41,47,2,34,40,6,4,14,3,34,38,22
138,138,21,49,9,26,22,20,30,9,39,41,17,11,44,3,36,16,49,31,13,21
139,139,28,24,42,24,26,47,33,20,27,9,40,23,29,19,22,8,35,28,19,34
