,job,Obj00,Obj10,Obj01,Obj11,Obj02,Obj12,Obj03,Obj13,Obj04,Obj14,Obj05,Obj15,Obj06,Obj16,Obj07,Obj17,Obj08,Obj18,Obj09,Obj19
0,0,24,13,7,16,8,21,21,22,23,20,4,8,9,18,15,19,14,2,4,19
1,1,21,4,1,22,20,2,11,9,14,16,9,10,13,22,18,2,9,17,8,8
2,2,13,5,6,18,12,7,10,11,6,13,14,22,8,3,1,19,20,20,3,13
3,3,20,24,22,13,15,20,16,12,1,3,5,15,3,15,13,21,15,16,8,9
4,4,10,24,4,9,23,21,22,13,10,3,4,19,10,4,14,7,9,21,14,11
5,5,24,4,1,24,13,3,18,12,20,9,22,19,19,1,7,12,23,20,15,4
6,6,20,16,4,22,16,14,3,14,10,15,20,17,15,17,11,20,23,24,17,5
7,7,15,5,5,18,22,12,7,12,13,14,21,13,20,10,21,10,10,18,12,4
8,8,13,15,7,2,14,20,23,7,10,10,15,21,17,6,4,5,9,4,12,16
9,9,23,9,12,5,9,18,16,21,14,8,19,9,19,17,14,1,24,23,18,20
10,10,22,1,12,10,17,21,3,12,8,24,8,6,6,14,24,12,2,21,19,1
11,11,3,18,19,18,3,4,1,16,22,1,20,19,4,15,8,13,24,4,14,4
12,12,21,4,24,2,17,3,14,20,8,18,18,17,18,15,8,22,5,12,5,17
13,13,12,16,20,23,21,13,11,22,1,9,10,1,7,17,2,10,14,17,20,24
14,14,7,19,21,3,4,22,21,7,17,22,4,3,14,13,8,14,13,16,1,6
15,15,6,6,15,10,13,9,4,16,4,4,3,11,6,24,16,4,15,19,1,9
16,16,14,14,17,22,21,1,6,24,12,18,23,14,21,2,9,19,1,15,17,1
17,17,7,11,19,9,17,12,4,2,21,10,17,15,19,7,5,21,14,8,3,21
18,18,8,7,10,2,6,21,2,17,16,24,13,24,1,11,3,9,19,19,23,17
19,19,24,1,11,1,11,1,22,23,10,11,13,23,16,21,1,4,10,9,15,21
20,20,3,23,20,15,12,15,21,18,6,6,1,19,3,10,19,17,17,10,11,7
21,21,4,2,16,2,16,20,16,22,14,19,11,19,3,1,1,7,11,1,1,19
22,22,22,15,24,3,9,11,1,21,24,4,8,16,6,13,16,19,9,11,11,9
23,23,23,24,14,4,7,9,20,12,18,2,11,19,24,24,22,21,23,8,2,5
24,24,13,7,15,22,19,7,21,20,24,12,19,12,21,19,18,3,21,22,9,21
25,25,23,1,19,16,18,24,3,8,10,22,7,19,10,24,6,1,14,5,12,1
26,26,22,5,14,20,1,24,9,14,12,5,13,20,6,1,8,12,24,9,20,13
27,27,10,19,7,18,17,12,10,23,16,2,9,18,6,24,14,12,2,9,23,9
28,28,20,11,20,20,22,22,2,18,21,20,9,3,17,3,20,5,8,9,18,9
29,29,17,6,22,17,18,20,20,13,3,16,1,18,11,2,20,6,1,13,6,11
30,30,2,22,17,5,3,3,6,16,14,19,12,6,20,14,15,23,18,3,8,19
31,31,2,3,3,24,17,3,4,10,13,23,2,10,3,4,16,24,22,12,2,3
