,job,Obj00,Obj10,Obj01,Obj11,Obj02,Obj12,Obj03,Obj13,Obj04,Obj14,Obj05,Obj15,Obj06,Obj16,Obj07,Obj17,Obj08,Obj18,Obj09,Obj19
0,0,32,126,85,77,22,170,63,183,33,84,198,154,36,167,185,92,13,64,86,189
1,1,16,60,97,78,193,28,145,32,140,169,170,189,26,82,6,116,39,61,182,141
2,2,84,60,93,56,1,123,140,58,73,163,119,158,198,94,144,141,10,160,170,42
3,3,123,139,148,103,133,9,15,162,35,62,136,35,175,36,190,33,57,74,45,93
4,4,57,190,134,17,99,104,33,178,174,195,196,54,80,59,97,42,54,38,29,121
5,5,144,84,11,48,191,1,155,62,153,156,172,193,157,64,22,108,182,57,100,162
6,6,32,52,89,50,184,185,114,161,106,175,13,164,12,59,22,75,126,109,194,5
7,7,146,37,36,140,192,127,165,88,103,161,33,185,148,57,168,165,87,174,39,26
8,8,170,164,84,158,64,26,60,99,121,152,185,152,40,70,192,63,39,31,8,78
9,9,58,149,120,16,173,197,152,4,49,116,159,23,40,11,120,192,179,190,145,164
10,10,63,126,176,52,41,11,178,85,14,64,64,2,38,71,65,174,188,92,16,112
11,11,26,156,107,119,83,79,134,134,15,186,172,130,54,104,166,106,195,178,193,190
12,12,32,160,2,26,78,196,176,121,83,17,70,135,70,135,61,39,44,73,101,116
13,13,113,138,171,111,93,175,113,61,182,191,158,180,173,22,173,192,166,88,53,186
14,14,156,45,164,164,179,40,158,162,18,121,19,172,164,6,196,103,75,21,143,147
15,15,136,123,102,41,88,158,138,130,163,29,175,83,164,78,146,141,16,161,86,168
16,16,150,61,5,192,154,197,91,66,127,93,154,172,60,174,84,183,149,199,84,193
17,17,128,168,84,59,140,138,31,96,26,26,124,112,47,142,77,61,102,94,1,124
18,18,8,36,129,64,88,10,21,174,94,9,69,65,70,130,21,19,106,199,62,7
19,19,61,128,5,105,183,95,40,130,97,151,167,161,127,11,69,136,188,171,49,47
20,20,196,128,172,11,23,119,104,29,147,199,79,93,31,97,45,64,173,51,148,117
