,job,Obj00,Obj10,Obj01,Obj11,Obj02,Obj12,Obj03,Obj13,Obj04,Obj14,Obj05,Obj15,Obj06,Obj16,Obj07,Obj17,Obj08,Obj18,Obj09,Obj19
0,0,146,143,84,236,283,154,71,209,64,214,35,4,81,116,109,268,82,176,224,218
1,1,194,219,204,58,131,21,81,242,238,37,242,265,243,40,102,244,92,231,120,48
2,2,4,286,234,153,145,34,43,185,30,32,298,217,6,9,12,221,232,285,217,93
3,3,71,231,14,153,144,202,115,93,227,179,177,20,28,112,110,224,153,209,283,102
4,4,281,73,34,281,121,256,233,134,33,4,176,255,52,267,64,86,8,8,193,230
5,5,84,266,1,11,147,51,172,264,243,114,63,292,6,265,292,226,3,65,214,193
6,6,220,90,190,100,218,21,61,84,244,297,215,279,197,182,154,24,245,26,266,271
7,7,112,272,189,17,16,176,248,257,20,128,78,123,119,68,269,104,299,140,37,104
8,8,194,109,80,219,293,292,202,63,299,41,26,102,101,116,126,47,283,278,182,84
9,9,24,191,25,180,233,236,256,89,273,83,293,242,237,298,260,250,57,232,124,267
10,10,44,18,10,165,109,133,251,219,289,169,78,202,155,45,85,92,118,203,193,277
11,11,130,3,15,152,7,136,260,25,94,114,8,271,3,4,97,276,167,43,140,203
12,12,64,134,189,218,186,21,175,150,9,207,158,260,206,99,137,58,25,244,36,54
13,13,237,112,150,243,275,85,78,67,130,289,282,8,160,31,227,271,128,98,107,288
14,14,295,245,220,197,228,121,97,187,193,230,106,245,283,48,67,234,150,186,247,63
15,15,192,17,58,162,23,270,269,299,214,221,101,175,106,294,183,30,156,146,77,73
16,16,121,161,142,73,66,34,248,267,22,68,170,152,210,297,121,243,169,22,8,64
17,17,120,255,217,155,186,126,23,283,285,274,229,83,197,238,6,102,209,2,2,123
18,18,180,44,182,107,148,124,287,297,129,135,104,259,214,247,8,115,126,58,68,204
19,19,238,207,217,148,195,157,286,3,222,279,68,200,175,14,9,252,129,201,49,150
20,20,98,138,220,30,200,37,51,263,167,195,230,171,171,251,186,193,73,7,169,279
21,21,59,14,19,170,29,133,32,57,180,58,35,106,78,153,146,100,15,14,21,177
22,22,126,146,52,41,85,218,81,49,132,118,120,24,68,169,237,298,38,25,32,18
23,23,18,23,94,171,232,37,151,168,147,183,242,279,72,296,228,201,104,1,203,139
24,24,259,131,212,188,145,160,175,17,225,189,277,84,205,78,123,109,16,291,99,106
