,job,Obj00,Obj10,Obj01,Obj11,Obj02,Obj12,Obj03,Obj13,Obj04,Obj14,Obj05,Obj15,Obj06,Obj16,Obj07,Obj17,Obj08,Obj18,Obj09,Obj19
0,0,14,25,34,80,78,30,41,50,64,75,16,28,50,60,32,50,17,12,48,37
1,1,20,99,95,85,86,86,32,18,39,7,67,89,91,21,64,55,42,30,66,11
2,2,69,32,51,27,17,96,86,67,15,37,54,33,76,67,83,5,18,78,7,42
3,3,20,11,63,97,84,31,29,71,22,81,35,17,71,1,65,75,11,58,22,74
4,4,49,76,43,78,11,66,90,46,20,33,43,13,76,56,57,73,82,26,66,94
5,5,51,11,46,48,65,30,53,90,35,48,15,86,22,37,41,64,86,86,68,23
6,6,39,79,10,54,68,93,71,55,95,78,27,69,89,99,16,81,50,53,35,68
7,7,21,18,82,53,72,71,83,64,17,48,14,16,32,63,98,18,55,64,39,24
8,8,66,28,38,46,86,78,17,38,57,40,50,75,75,87,6,71,94,65,97,47
9,9,74,36,5,36,70,75,49,12,62,62,98,91,89,5,7,33,72,69,84,72
10,10,50,13,47,74,63,68,86,26,46,80,70,92,21,4,57,23,30,72,35,76
11,11,54,60,54,94,16,40,99,48,43,83,45,51,50,13,68,77,27,10,1,83
12,12,19,82,28,86,39,55,71,12,18,8,9,94,3,79,72,47,50,21,85,92
13,13,61,10,54,49,31,1,68,60,53,67,66,94,68,4,98,84,91,38,56,77
14,14,57,99,28,14,82,78,2,34,53,86,58,73,38,4,21,93,96,56,40,96
15,15,13,25,93,4,1,89,79,7,1,33,34,1,24,48,13,55,52,3,22,45
16,16,35,98,6,11,50,40,17,55,65,42,89,34,3,18,45,95,62,48,63,25
17,17,33,81,24,5,10,36,85,32,30,5,36,4,85,57,51,15,79,44,10,98
18,18,49,11,2,40,19,2,56,61,42,39,45,56,17,25,72,55,96,60,15,41
19,19,43,27,54,60,38,82,71,16,19,24,89,77,57,57,60,22,99,63,55,67
20,20,99,90,65,28,30,32,35,34,55,80,42,50,70,19,12,1,80,87,21,23
21,21,13,50,38,26,52,70,64,17,55,7,32,31,59,38,75,92,53,33,11,52
22,22,77,13,78,1,24,50,13,92,32,53,48,49,16,72,59,88,89,57,94,38
23,23,42,24,14,31,26,12,74,70,59,95,71,88,60,21,40,30,6,77,25,30
24,24,27,9,62,24,95,11,51,46,9,46,99,56,1,21,96,12,40,43,72,65
25,25,82,80,14,79,98,26,21,82,82,67,57,5,48,6,77,77,39,68,34,71
26,26,43,31,61,34,67,84,79,31,77,55,57,13,93,1,3,71,53,56,44,57
27,27,92,51,20,69,78,29,91,41,19,10,90,67,71,84,16,93,13,72,32,8
28,28,52,92,43,16,38,10,39,37,51,20,71,38,4,96,25,48,22,65,4,95
29,29,44,32,47,63,94,34,59,28,86,21,9,96,39,58,97,7,95,73,95,56
30,30,57,46,9,95,84,65,94,58,39,98,73,59,64,5,32,59,51,83,52,62
31,31,26,63,77,49,3,31,12,54,88,43,69,62,94,6,64,74,84,73,97,84
32,32,15,78,4,80,76,93,20,97,85,5,74,62,38,69,37,70,30,52,7,94
33,33,41,57,98,41,53,98,18,54,73,44,2,4,8,15,28,54,28,91,28,5
34,34,99,93,32,66,81,43,31,97,59,17,62,60,8,73,82,96,75,64,96,57
35,35,73,75,29,84,38,97,32,88,50,42,99,44,91,82,83,24,46,29,75,54
36,36,84,85,62,10,35,2,28,15,82,6,63,1,38,17,59,53,47,14,65,70
37,37,98,75,76,38,2,88,65,2,94,26,84,17,63,17,69,55,22,89,9,39
38,38,22,3,29,41,43,15,52,99,38,7,92,30,79,92,43,41,60,12,56,84
39,39,93,60,6,34,94,6,79,8,86,29,92,1,27,4,72,6,19,12,33,29
40,40,9,57,75,37,54,56,28,98,71,98,23,4,50,25,91,53,20,54,64,87
41,41,45,84,56,87,2,30,81,99,47,63,36,61,8,97,43,66,48,24,52,53
42,42,56,47,91,65,81,44,3,40,70,90,81,95,57,42,95,7,87,13,82,84
43,43,4,63,34,81,74,29,29,19,27,14,49,77,11,87,77,76,45,92,62,43
44,44,91,16,47,55,46,25,49,35,18,17,93,80,69,97,47,5,27,9,74,79
45,45,33,79,81,57,21,46,16,18,96,62,38,22,33,12,5,70,75,32,52,52
46,46,96,16,68,58,2,65,55,89,8,51,33,25,69,2,88,7,77,73,60,75
47,47,76,1,27,29,66,99,27,8,60,24,81,97,67,53,14,59,48,32,58,66
48,48,57,72,62,53,1,11,20,29,86,69,36,75,18,99,22,27,65,87,18,93
49,49,9,17,78,93,75,53,20,58,6,96,65,31,62,39,14,90,8,93,39,65
50,50,33,64,90,13,49,93,25,51,27,82,24,92,31,97,5,88,50,27,70,48
51,51,66,33,88,50,12,3,72,5,86,85,69,40,50,64,14,97,97,67,44,59
52,52,70,59,69,52,31,88,54,40,68,18,22,44,69,95,35,85,19,58,48,88
53,53,87,63,28,79,41,29,94,64,88,88,71,20,91,92,18,34,97,72,41,5
54,54,17,43,99,36,2,30,54,15,79,53,47,88,62,60,69,46,90,94,97,47
55,55,44,88,15,95,9,4,37,32,29,22,83,74,41,39,34,49,92,28,9,36
56,56,47,55,82,2,62,73,18,74,66,81,20,7,10,23,22,93,76,35,74,82
57,57,48,90,27,13,50,24,79,40,59,6,4,8,82,18,72,57,9,79,46,36
58,58,52,33,68,57,52,2,99,85,13,65,38,36,70,8,7,59,93,18,48,25
59,59,56,77,74,21,92,59,34,60,46,86,87,50,57,68,14,90,21,71,20,64
60,60,5,36,58,16,79,22,87,24,61,16,35,55,48,82,45,39,33,35,95,7
61,61,69,60,25,44,64,59,86,79,10,43,89,81,27,95,4,23,70,87,15,38
62,62,91,9,17,4,34,41,79,60,94,3,26,50,92,56,26,69,31,85,15,38
63,63,92,32,4,9,31,67,88,95,81,26,42,48,51,38,33,17,31,22,97,28
64,64,33,46,80,11,90,87,41,68,33,52,2,1,56,24,45,95,44,72,56,58
65,65,5,57,79,25,78,58,85,60,63,59,18,81,49,87,42,69,43,97,52,32
66,66,7,1,98,28,55,8,46,48,25,96,41,57,99,36,92,25,63,45,25,95
67,67,33,70,40,12,85,69,78,8,82,43,59,68,20,95,45,88,85,38,24,6
68,68,7,11,66,70,5,57,50,79,54,77,88,99,21,82,33,49,1,63,59,15
69,69,82,8,54,50,20,78,17,48,31,72,1,50,49,30,55,57,24,31,21,59
70,70,76,35,85,81,5,69,39,36,36,33,81,94,36,23,79,52,83,62,3,6
71,71,61,54,24,91,67,33,97,86,43,76,17,30,76,20,39,5,34,36,7,43
72,72,45,57,33,67,19,7,6,13,13,94,3,77,18,99,7,96,1,31,96,6
73,73,97,36,15,36,68,18,65,24,54,6,44,10,67,53,95,10,39,60,91,70
74,74,51,97,14,16,48,52,38,26,59,36,60,91,52,37,25,77,93,12,20,94
75,75,1,4,95,3,33,14,59,5,50,50,60,53,48,95,81,44,22,41,33,13
76,76,40,20,34,80,65,82,52,28,77,93,18,30,76,43,11,87,39,6,58,57
77,77,93,84,70,94,33,53,22,78,92,7,90,39,20,56,41,64,69,1,34,62
78,78,73,48,93,60,33,88,86,67,64,41,59,40,96,97,18,97,52,24,29,9
79,79,81,64,78,50,28,95,74,11,99,86,68,2,29,44,47,18,25,67,69,63
80,80,45,15,70,66,73,6,76,61,61,15,74,66,40,61,58,15,3,76,47,65
81,81,99,60,6,81,43,17,59,47,74,82,7,69,21,91,39,98,31,75,47,78
82,82,58,15,35,80,28,77,21,47,7,92,78,59,25,14,40,15,8,19,35,53
83,83,50,76,69,10,50,85,6,69,52,15,20,49,69,44,20,92,41,95,47,37
84,84,43,36,46,27,71,97,85,79,52,8,28,21,85,32,58,25,71,46,75,85
85,85,65,29,24,85,54,66,73,66,61,84,73,28,98,12,3,76,61,35,62,39
86,86,89,57,86,94,66,95,56,5,30,7,62,70,76,30,63,23,80,37,88,32
87,87,64,56,89,36,13,91,67,19,3,39,35,74,60,51,77,3,38,77,34,17
88,88,71,91,67,94,77,54,32,99,75,83,53,46,18,13,43,78,23,18,76,93
89,89,77,2,11,53,6,33,22,9,12,62,23,89,8,14,52,27,58,42,64,37
90,90,4,7,37,23,92,93,52,40,91,47,33,42,71,38,92,81,70,88,78,40
91,91,51,20,27,28,95,89,5,90,45,97,1,95,84,63,59,91,77,57,33,64
92,92,14,41,73,96,68,25,89,21,15,42,32,61,61,95,38,43,75,92,69,47
93,93,86,47,46,62,93,7,48,83,81,7,47,91,59,13,7,21,93,91,64,71
94,94,84,55,11,93,43,92,10,74,76,27,16,31,99,58,95,1,19,20,75,6
95,95,17,38,93,46,91,25,16,95,60,36,19,68,88,23,5,17,93,60,11,93
96,96,95,69,59,25,55,70,97,63,53,86,9,55,37,38,66,85,72,9,50,76
97,97,81,64,10,47,60,68,13,69,19,51,56,18,72,28,99,44,4,35,67,69
98,98,96,70,82,16,67,30,53,35,57,98,79,46,12,21,15,34,92,51,56,12
99,99,67,23,71,33,93,11,3,1,26,37,2,73,35,71,13,4,68,6,73,54
