,job,Obj00,Obj10,Obj01,Obj11,Obj02,Obj12,Obj03,Obj13,Obj04,Obj14
0,0,23,33,46,39,14,14,36,21,5,46
1,1,39,46,7,45,13,24,7,39,9,3
2,2,10,36,2,10,36,35,9,32,40,8
3,3,48,14,10,14,13,42,34,10,22,44
4,4,23,27,4,49,43,42,27,35,21,7
5,5,9,1,29,31,4,39,15,43,12,19
6,6,44,20,33,42,29,22,5,23,27,42
7,7,42,14,33,24,45,2,14,16,38,44
8,8,15,9,49,19,4,31,13,41,6,6
9,9,25,46,43,18,10,7,18,25,45,26
10,10,7,3,31,5,39,32,12,17,24,13
11,11,33,38,48,18,8,44,23,7,43,35
12,12,38,3,37,31,41,5,37,25,46,12
13,13,2,8,19,27,39,28,28,33,21,28
14,14,23,5,43,1,33,37,39,30,13,26
15,15,27,9,13,34,25,22,43,20,33,46
16,16,34,37,1,25,21,33,3,6,1,17
17,17,19,24,2,7,45,32,15,12,28,15
18,18,30,19,30,11,36,45,24,40,14,34
19,19,40,18,1,41,42,40,41,26,10,17
20,20,2,23,36,5,16,13,33,47,49,46
21,21,26,12,17,36,29,12,21,15,33,36
22,22,44,2,36,11,48,6,41,40,19,20
23,23,18,42,11,15,24,7,3,43,4,38
24,24,23,30,14,46,17,4,44,18,14,23
25,25,9,29,39,45,23,37,3,9,43,40
26,26,20,15,20,15,26,13,3,49,17,25
27,27,16,3,6,48,45,6,35,34,31,24
28,28,46,15,13,6,34,47,6,13,25,1
29,29,6,15,6,27,12,10,23,10,15,19
30,30,11,14,38,48,25,3,21,18,30,27
31,31,10,16,36,46,41,19,6,47,40,16
32,32,29,21,48,22,33,34,10,23,4,16
33,33,6,21,40,14,20,45,1,41,18,43
34,34,23,18,1,38,38,21,32,2,42,11
35,35,26,20,23,11,29,22,20,12,30,21
36,36,38,34,42,25,32,46,28,7,5,15
37,37,20,45,41,49,14,43,34,30,47,14
38,38,10,28,34,4,47,19,32,32,42,6
39,39,18,26,9,34,22,27,8,35,2,29
40,40,1,16,48,33,6,17,18,15,27,25
41,41,45,16,47,27,22,29,10,28,2,11
42,42,31,41,32,38,19,26,15,7,18,14
43,43,48,45,39,49,28,4,3,20,30,22
44,44,5,29,28,19,27,2,40,44,2,49
45,45,31,23,47,47,41,25,48,34,5,34
46,46,18,45,42,42,32,22,37,49,31,41
47,47,10,15,24,38,7,3,7,23,5,38
48,48,6,42,4,1,33,35,44,33,29,30
49,49,28,45,9,18,41,41,9,1,40,42
50,50,16,8,24,27,8,42,37,47,17,7
51,51,10,26,14,24,47,22,44,14,22,7
52,52,44,1,25,9,25,24,21,41,17,13
53,53,18,17,42,38,28,7,31,32,13,14
54,54,26,22,48,1,30,25,32,26,8,19
55,55,31,29,11,41,34,35,36,7,38,43
56,56,13,9,30,11,31,22,5,22,27,46
57,57,30,15,14,36,16,36,34,46,48,3
58,58,34,1,40,43,39,17,44,31,20,17
59,59,26,2,29,4,1,8,3,21,44,26
60,60,16,10,48,22,45,16,48,37,15,45
61,61,42,28,14,35,2,10,31,20,46,34
62,62,29,25,13,9,17,46,42,27,32,1
63,63,39,40,40,27,2,10,10,39,10,21
64,64,32,42,27,33,9,5,41,4,38,35
65,65,16,48,34,16,44,8,48,30,22,28
66,66,15,1,5,27,26,16,1,24,38,18
67,67,11,43,19,33,38,12,48,45,23,5
68,68,11,10,34,8,10,11,16,8,31,40
69,69,42,5,15,34,41,34,21,25,46,27
70,70,22,41,29,6,36,44,24,2,26,3
71,71,8,27,4,19,28,24,15,35,5,40
72,72,1,20,19,17,31,10,45,44,25,41
73,73,22,43,21,44,47,17,5,18,8,21
74,74,2,17,42,49,44,18,9,14,12,41
75,75,11,34,18,20,20,4,46,27,23,7
76,76,31,45,46,34,38,35,28,18,37,36
77,77,5,17,42,36,2,5,49,47,15,24
78,78,32,28,28,38,31,45,40,37,26,6
79,79,20,26,34,6,48,39,15,24,21,35
80,80,35,18,27,49,28,7,17,47,20,39
81,81,20,12,26,15,24,23,22,47,9,38
82,82,24,30,2,35,12,9,41,16,16,40
83,83,39,35,47,18,34,8,10,17,41,37
84,84,11,48,26,7,25,14,33,25,37,35
85,85,35,35,30,2,38,29,46,20,20,10
86,86,39,32,41,43,23,18,16,16,29,22
87,87,5,44,49,25,43,40,25,14,4,33
88,88,33,16,27,40,26,13,40,19,39,23
89,89,43,34,13,41,47,39,48,42,47,20
90,90,41,20,28,19,8,30,7,30,22,35
91,91,21,11,47,32,11,2,6,31,40,28
92,92,49,37,45,47,44,5,40,24,43,42
93,93,44,21,36,37,44,32,46,35,32,31
94,94,10,21,5,17,18,15,49,29,29,21
95,95,24,41,24,20,27,18,1,5,3,2
96,96,47,6,28,6,16,28,16,47,41,14
97,97,41,23,12,43,36,49,9,25,33,15
98,98,14,45,31,8,49,41,6,12,15,23
99,99,47,39,46,36,4,44,23,14,19,5
100,100,22,27,31,26,7,35,48,16,47,2
101,101,40,33,23,33,34,35,17,35,9,45
102,102,29,17,33,13,8,12,10,46,43,23
103,103,14,9,13,47,4,7,37,46,36,19
104,104,23,42,45,2,6,7,2,7,20,13
105,105,17,36,29,37,43,40,16,29,46,32
106,106,41,18,17,4,12,45,21,3,9,38
107,107,18,27,31,4,38,27,17,36,9,18
108,108,38,6,43,4,14,30,4,44,26,42
109,109,31,29,6,17,12,39,8,42,17,29
110,110,28,38,9,19,45,27,28,2,17,19
111,111,29,28,23,13,29,31,32,33,33,6
112,112,5,33,17,40,13,21,29,14,11,37
113,113,21,15,45,31,48,36,43,17,29,44
114,114,29,11,12,2,43,23,38,24,15,10
115,115,5,16,40,2,38,13,37,9,27,37
116,116,46,9,37,18,48,30,9,15,18,44
117,117,13,22,34,43,39,25,31,42,22,27
118,118,1,4,10,49,16,8,3,35,34,37
119,119,47,33,42,14,28,29,2,10,18,15
120,120,36,24,47,33,3,40,37,25,38,34
121,121,11,26,19,3,36,42,29,6,9,28
122,122,33,48,8,16,1,22,16,31,43,30
123,123,38,28,20,14,16,13,39,4,44,25
124,124,12,46,21,21,17,4,4,49,25,38
125,125,29,46,11,39,43,49,42,38,7,44
126,126,38,37,1,22,49,22,27,44,9,37
127,127,29,20,11,13,1,23,37,4,12,36
128,128,36,23,49,42,16,45,6,35,37,6
129,129,2,11,48,5,22,18,32,30,12,40
130,130,21,21,39,47,38,36,14,37,38,12
131,131,33,21,8,24,44,3,44,22,36,17
132,132,12,14,6,38,6,31,19,12,27,7
133,133,48,20,40,2,10,44,34,39,28,49
134,134,39,47,12,15,32,1,20,16,10,41
135,135,22,15,35,13,31,44,14,43,45,3
136,136,47,39,34,44,39,39,19,13,28,18
137,137,11,38,3,33,40,46,21,48,12,20
138,138,26,10,35,39,5,32,23,13,38,17
139,139,22,36,36,31,10,9,45,47,19,32
140,140,43,19,10,32,45,19,43,33,3,19
141,141,30,48,8,25,21,26,45,16,10,6
142,142,7,33,16,5,9,4,34,29,19,8
143,143,42,24,10,23,2,29,35,14,5,27
144,144,24,31,39,41,39,41,26,31,44,10
145,145,25,2,11,3,42,37,33,15,31,16
146,146,16,44,10,46,3,16,10,5,22,26
147,147,41,48,36,39,43,32,39,3,28,30
148,148,6,6,31,23,45,33,26,29,10,45
149,149,46,30,11,17,23,14,46,21,5,13
150,150,14,11,48,22,15,41,4,20,28,24
