,job,Obj00,Obj10,Obj01,Obj11,Obj02,Obj12,Obj03,Obj13,Obj04,Obj14
0,0,62,74,26,134,69,50,99,124,2,191
1,1,77,170,58,173,59,155,34,87,134,175
2,2,33,69,106,111,140,84,140,35,150,40
3,3,73,11,149,172,21,111,70,153,187,164
4,4,115,142,98,98,171,14,114,13,145,120
5,5,44,104,71,16,107,1,20,120,66,30
6,6,65,167,132,187,49,98,31,54,61,73
7,7,7,127,187,182,146,162,133,71,6,197
8,8,147,9,131,75,169,182,176,170,20,134
9,9,91,150,23,199,157,150,8,101,139,2
10,10,99,165,7,23,129,74,143,17,91,121
11,11,46,20,22,125,82,104,109,176,106,77
12,12,29,190,184,147,175,140,11,149,53,121
13,13,120,97,110,93,88,126,9,31,71,57
14,14,88,152,5,79,183,84,159,67,55,179
15,15,120,78,115,1,42,159,44,151,182,153
16,16,147,161,88,3,2,150,197,175,162,12
17,17,158,51,179,94,197,112,10,9,149,190
18,18,36,61,145,37,81,166,159,22,1,102
19,19,46,152,178,134,120,146,94,166,79,30
20,20,8,51,129,27,71,149,139,44,163,49
21,21,26,121,52,189,186,64,25,170,179,35
22,22,142,84,179,116,177,153,19,75,194,29
23,23,127,11,11,153,48,163,94,147,31,95
24,24,74,80,153,198,196,179,39,109,74,44
25,25,69,41,102,165,35,189,26,63,134,193
26,26,7,172,161,184,159,183,51,164,131,47
27,27,59,78,148,194,89,191,196,199,102,2
28,28,116,163,134,194,131,70,118,79,193,32
29,29,109,177,53,199,164,117,12,117,33,176
30,30,13,188,11,165,50,158,152,58,129,188
31,31,147,17,188,121,92,159,165,91,5,24
32,32,30,6,12,73,64,195,68,92,110,64
33,33,39,88,99,125,151,117,174,20,164,19
34,34,137,107,96,188,183,46,40,163,54,125
35,35,144,40,60,126,141,111,14,169,114,136
36,36,149,78,96,92,80,28,154,97,54,89
37,37,122,92,65,89,91,146,58,57,26,187
38,38,70,65,67,27,108,40,114,113,112,11
39,39,189,7,96,6,21,102,106,44,24,176
40,40,1,45,77,152,104,25,195,45,107,74
41,41,193,101,66,157,41,111,100,90,152,198
42,42,76,136,101,26,118,96,160,146,183,52
43,43,152,148,187,38,163,128,191,1,7,157
44,44,85,173,162,190,4,134,177,65,188,56
45,45,144,179,14,32,191,19,20,172,179,149
46,46,108,83,87,194,143,94,68,1,138,61
47,47,94,104,32,136,67,162,181,72,168,73
48,48,56,144,147,35,194,176,40,87,88,82
49,49,41,18,128,105,88,56,198,102,48,168
50,50,7,121,184,59,122,6,8,108,135,5
51,51,94,50,134,79,86,155,74,180,178,174
52,52,175,32,37,12,125,150,92,120,101,57
53,53,1,189,155,13,33,69,39,115,8,130
54,54,74,94,175,103,37,102,67,68,73,163
55,55,168,73,194,74,19,157,7,143,166,193
56,56,18,40,49,1,168,58,151,152,132,88
57,57,122,14,14,168,28,108,103,52,62,104
58,58,70,42,64,125,8,65,75,50,173,194
59,59,165,194,146,9,141,43,57,156,102,72
60,60,42,22,168,177,172,98,113,148,194,49
61,61,2,85,185,145,166,88,17,137,30,134
62,62,176,94,105,102,135,125,25,42,187,159
63,63,138,197,138,8,83,198,164,181,59,20
64,64,181,157,63,192,102,37,198,122,124,159
65,65,166,77,57,91,49,14,186,122,45,71
66,66,157,23,164,148,90,77,27,131,184,73
67,67,25,8,70,125,128,90,141,44,183,58
68,68,47,136,184,153,199,188,24,45,143,68
69,69,141,196,120,123,176,107,25,149,44,74
