,job,Obj00,Obj10,Obj01,Obj11,Obj02,Obj12,Obj03,Obj13,Obj04,Obj14
0,0,89,34,53,59,34,23,81,18,92,59
1,1,18,63,57,56,29,61,18,96,15,13
2,2,32,45,20,4,78,26,33,44,37,77
3,3,17,18,52,46,6,34,7,65,79,51
4,4,57,9,58,1,2,92,30,98,24,69
5,5,32,9,68,68,49,24,81,26,45,89
6,6,1,74,58,34,25,15,4,41,92,7
7,7,6,30,80,44,53,85,46,87,37,14
8,8,94,77,70,12,63,73,39,31,59,48
9,9,35,79,29,33,69,82,66,68,60,58
10,10,92,42,46,94,32,82,25,79,29,2
11,11,50,80,29,84,97,71,86,59,76,2
12,12,52,44,89,97,39,15,42,32,2,53
13,13,56,80,42,77,68,63,99,43,26,87
14,14,71,64,41,35,65,71,13,69,82,49
15,15,43,48,91,30,56,82,88,27,15,40
16,16,91,91,26,82,21,49,17,96,85,24
17,17,59,20,61,97,30,7,30,98,19,76
18,18,84,55,51,2,57,61,32,5,13,63
19,19,49,65,83,21,91,33,2,60,39,75
20,20,80,97,3,91,74,32,7,8,86,46
21,21,90,18,22,69,48,49,45,58,79,88
22,22,72,24,47,5,92,88,15,14,80,72
23,23,55,74,87,47,45,79,42,96,44,24
24,24,42,76,86,81,15,2,95,50,83,55
25,25,82,80,45,9,32,68,97,12,15,84
26,26,48,40,13,73,31,36,12,91,71,86
27,27,89,43,48,60,56,39,11,13,96,61
28,28,65,68,96,32,6,99,28,33,21,34
29,29,71,40,90,78,21,72,7,24,30,80
30,30,68,77,93,68,11,8,77,62,29,78
31,31,65,72,22,93,76,81,80,29,40,98
32,32,75,71,11,2,70,51,3,5,22,81
33,33,75,77,94,96,82,53,24,8,49,1
34,34,12,98,15,42,55,90,65,78,1,30
35,35,79,94,98,16,49,29,24,17,36,78
36,36,21,75,74,81,88,96,24,63,84,63
37,37,77,79,10,81,75,10,32,75,10,75
38,38,83,67,6,17,46,87,36,68,90,80
39,39,6,91,46,81,84,34,34,90,76,14
40,40,97,9,49,52,7,51,68,75,27,40
41,41,12,45,90,17,75,60,50,47,8,32
42,42,7,57,68,50,13,89,2,39,9,98
43,43,87,68,48,49,72,52,24,7,32,12
44,44,19,95,53,81,87,86,76,4,21,56
45,45,80,14,21,84,60,16,31,30,22,20
46,46,28,17,49,97,61,33,16,52,31,40
47,47,67,82,76,76,47,25,26,38,43,71
48,48,45,65,44,93,39,17,55,55,6,40
49,49,1,88,46,54,29,45,41,28,47,57
50,50,73,38,30,84,28,7,73,7,63,58
51,51,64,57,67,53,7,4,11,10,77,29
52,52,54,39,57,53,14,60,96,34,72,53
53,53,32,39,24,60,74,33,22,44,40,3
54,54,17,50,22,26,62,96,74,58,47,74
55,55,33,54,98,59,91,67,85,9,91,41
56,56,90,95,70,14,60,11,33,97,55,84
57,57,94,47,56,23,89,78,44,59,8,31
58,58,7,96,71,28,37,17,62,92,34,63
59,59,24,77,8,28,67,82,61,25,56,58
60,60,72,78,93,73,65,62,46,1,13,91
61,61,38,91,57,3,68,69,92,26,47,59
62,62,8,71,14,12,97,25,56,12,22,18
63,63,96,67,18,96,89,50,40,64,59,47
64,64,24,77,36,76,82,98,73,17,69,13
65,65,19,7,97,27,18,36,81,17,4,90
66,66,43,92,77,93,47,16,45,26,2,77
67,67,51,23,99,13,35,51,11,50,43,18
68,68,5,8,89,18,74,10,54,9,49,56
69,69,21,9,72,91,56,30,46,78,97,48
70,70,15,70,4,33,20,40,21,72,78,6
71,71,78,73,79,81,31,64,41,12,75,1
72,72,20,31,35,5,19,99,77,82,49,64
73,73,76,27,72,84,19,92,91,20,47,36
74,74,72,34,66,12,20,39,75,18,19,42
75,75,74,94,5,86,51,65,96,15,5,83
76,76,99,30,99,51,1,69,42,17,4,40
77,77,56,68,63,2,23,84,49,63,56,54
78,78,32,38,44,34,3,87,46,73,16,21
79,79,30,59,32,32,44,58,89,30,42,37
80,80,89,11,98,74,11,51,97,71,40,43
81,81,63,15,12,49,82,94,32,2,38,70
82,82,83,58,3,72,53,85,27,65,1,63
83,83,59,41,13,38,51,33,49,42,3,8
84,84,42,20,31,78,75,45,87,52,48,12
85,85,31,27,57,96,57,82,31,63,68,57
86,86,85,24,37,18,63,84,4,59,68,70
87,87,90,92,52,75,32,56,62,85,30,14
88,88,21,17,80,38,16,78,4,41,90,89
89,89,6,67,18,5,7,75,10,52,44,79
90,90,21,96,65,10,97,9,7,30,77,74
91,91,62,97,42,96,28,22,15,43,77,51
92,92,46,24,75,4,16,51,18,33,49,94
93,93,85,18,16,64,43,5,77,64,72,95
94,94,85,30,46,56,15,94,79,11,47,55
95,95,15,9,6,21,79,50,9,77,53,50
96,96,81,61,60,39,86,7,4,70,13,18
97,97,41,66,70,47,52,83,55,34,44,17
98,98,94,27,28,77,72,83,72,51,69,44
99,99,57,65,28,93,31,88,54,30,70,40
100,100,38,49,43,91,99,27,59,17,12,40
101,101,5,73,70,36,56,58,25,66,36,28
102,102,14,21,21,4,23,55,23,13,29,90
103,103,34,16,3,17,44,64,21,37,79,45
104,104,58,72,6,62,44,71,94,84,25,92
105,105,54,30,24,66,18,87,18,22,2,11
106,106,8,42,89,21,28,16,16,77,84,30
107,107,38,16,80,65,40,35,28,64,1,33
108,108,16,25,35,81,95,6,23,82,2,28
109,109,46,63,20,49,7,29,45,83,92,44
110,110,34,75,9,54,82,28,20,18,6,57
111,111,51,36,6,38,53,33,36,5,11,57
112,112,91,88,17,77,10,2,74,16,19,64
113,113,94,56,47,89,42,89,69,56,91,75
114,114,29,25,23,84,49,25,57,85,60,90
115,115,88,45,42,17,63,40,34,34,92,5
116,116,43,64,80,77,66,66,37,50,63,47
117,117,5,78,89,66,74,32,90,34,54,66
118,118,46,18,5,60,84,6,60,97,80,15
119,119,78,63,67,49,41,31,46,2,75,26
120,120,90,47,29,1,47,8,40,34,11,46
121,121,66,87,57,45,94,74,10,27,14,21
122,122,89,44,71,62,36,55,99,45,66,75
123,123,12,9,54,85,23,54,63,24,35,11
124,124,44,44,42,30,21,81,85,38,95,29
125,125,6,53,1,12,61,58,66,95,60,21
126,126,82,79,56,58,12,34,76,12,12,68
127,127,93,78,99,71,2,9,67,49,48,70
128,128,37,58,7,91,92,5,91,95,60,47
129,129,82,44,45,85,67,42,20,10,63,57
130,130,1,90,49,30,77,80,83,48,89,42
131,131,51,37,51,52,57,33,71,56,15,67
132,132,33,43,6,71,45,19,46,86,27,7
133,133,94,94,68,54,49,48,60,12,72,12
134,134,24,61,14,66,69,50,12,39,58,93
135,135,86,76,85,89,63,97,88,62,65,83
136,136,33,98,77,63,89,74,92,41,45,77
137,137,97,11,62,1,71,48,76,1,83,61
138,138,87,94,14,57,46,64,24,26,90,42
139,139,88,43,96,85,36,51,95,49,88,67
140,140,19,27,66,90,75,29,15,75,56,15
141,141,98,78,62,65,66,80,25,67,99,12
142,142,62,37,91,7,86,48,65,98,73,92
143,143,87,73,54,55,93,41,72,30,90,74
144,144,65,38,13,19,48,56,20,46,82,55
145,145,93,25,25,45,57,3,79,71,53,53
146,146,62,78,42,68,66,14,27,76,68,1
147,147,22,97,92,24,64,28,3,98,26,89
148,148,43,46,54,92,7,25,40,75,67,87
149,149,39,54,2,30,15,58,58,12,97,35
150,150,63,70,24,27,64,24,53,13,58,72
151,151,72,60,69,12,82,63,56,6,56,79
152,152,61,47,45,28,89,24,97,89,29,86
153,153,91,95,48,65,74,29,17,65,12,49
154,154,44,7,10,92,57,70,51,77,74,71
155,155,45,95,63,99,92,39,48,16,63,37
156,156,14,94,44,35,47,35,83,34,33,13
157,157,43,89,75,13,8,7,63,56,33,40
158,158,63,32,34,38,75,38,46,46,14,24
159,159,90,15,89,24,33,79,33,16,13,95
160,160,88,70,86,41,50,86,29,64,15,24
161,161,93,50,61,94,21,25,97,88,57,73
162,162,36,8,73,64,18,8,48,20,6,6
163,163,71,13,33,8,16,92,76,49,52,37
164,164,25,60,50,4,58,38,80,39,56,55
165,165,85,82,91,29,92,86,13,56,30,64
166,166,87,93,61,70,90,16,6,43,73,12
167,167,68,63,17,23,22,47,23,23,27,81
168,168,48,45,82,8,76,69,78,92,34,15
169,169,65,3,45,40,13,61,39,3,12,64
170,170,44,75,27,71,50,99,17,10,20,15
171,171,6,56,94,99,55,86,80,2,60,91
172,172,94,31,89,47,30,84,20,58,83,62
173,173,81,48,71,25,99,56,20,81,23,1
174,174,32,42,51,66,72,60,89,97,92,62
175,175,69,36,44,3,56,2,80,45,85,44
176,176,33,16,97,17,83,76,63,4,27,92
177,177,96,68,62,60,1,81,69,99,34,52
178,178,59,87,96,85,95,57,41,7,3,18
179,179,50,8,37,38,79,85,93,55,89,31
180,180,67,66,23,56,8,37,95,21,12,42
181,181,20,16,47,52,76,78,57,68,46,22
182,182,13,34,98,84,89,34,52,59,68,15
183,183,7,80,95,40,29,28,22,69,98,70
184,184,81,11,88,62,6,4,11,37,44,83
185,185,47,71,5,18,42,94,95,83,86,83
186,186,50,21,27,81,42,77,68,96,17,42
187,187,63,17,84,33,29,80,75,29,70,81
188,188,30,51,10,66,7,57,81,13,65,18
189,189,33,33,22,59,90,12,30,76,27,28
190,190,68,52,74,52,61,49,76,44,97,66
191,191,60,88,34,80,46,40,16,68,75,84
192,192,42,22,56,21,16,89,33,61,15,63
193,193,75,85,70,77,92,15,99,66,9,13
194,194,80,46,36,90,60,35,78,64,15,2
195,195,62,83,13,15,89,89,93,35,47,73
196,196,95,40,85,39,69,41,15,40,33,86
197,197,27,54,43,23,25,18,36,84,7,26
198,198,1,26,38,36,73,20,98,85,78,47
199,199,69,94,88,71,82,45,20,21,33,25
200,200,27,39,61,17,70,84,63,99,18,6
201,201,29,80,26,19,56,13,49,41,9,89
202,202,80,78,36,74,79,86,28,92,85,65
203,203,22,34,99,77,62,27,41,41,72,31
204,204,52,91,25,8,76,36,25,91,6,41
205,205,9,67,98,33,93,59,21,72,50,66
206,206,74,39,88,47,61,70,93,9,16,31
207,207,20,49,67,50,88,50,4,33,42,43
208,208,18,47,24,18,18,50,12,9,44,29
209,209,78,65,56,80,18,14,68,77,13,57
210,210,26,58,29,81,56,12,32,97,42,27
211,211,79,66,82,3,83,49,80,43,7,44
212,212,50,81,75,6,83,81,55,31,25,81
213,213,64,80,91,41,19,41,28,47,19,22
214,214,90,87,58,43,13,35,86,36,92,2
215,215,86,38,3,73,79,52,18,4,87,7
216,216,16,31,4,97,49,83,66,36,36,18
217,217,96,37,16,36,16,91,81,78,97,74
218,218,2,85,91,64,93,95,52,40,28,69
219,219,36,64,88,72,21,69,45,99,72,80
220,220,87,28,3,41,29,10,1,80,79,4
