,job,Obj00,Obj10,Obj01,Obj11,Obj02,Obj12,Obj03,Obj13,Obj04,Obj14,Obj05,Obj15,Obj06,Obj16,Obj07,Obj17,Obj08,Obj18,Obj09,Obj19,Obj010,Obj110,Obj011,Obj111,Obj012,Obj112,Obj013,Obj113,Obj014,Obj114
0,0,11,2,35,22,39,32,49,28,25,16,8,14,37,39,37,26,12,35,4,45,4,33,33,2,5,12,22,26,38,21
1,1,7,45,34,26,15,38,2,42,14,21,42,17,25,37,14,31,16,39,25,1,45,18,22,42,37,37,13,49,28,15
2,2,4,41,48,43,45,49,39,40,34,44,8,46,21,39,27,28,1,1,35,17,35,20,9,39,29,27,13,31,45,42
3,3,1,4,14,2,4,25,14,22,1,39,46,27,11,22,35,31,37,25,27,48,11,8,34,6,21,31,6,22,22,42
4,4,45,28,47,14,23,7,30,33,32,16,13,31,49,26,30,47,27,46,46,36,22,44,13,44,44,34,5,45,5,31
5,5,2,26,24,25,13,33,26,11,45,24,39,46,35,23,21,35,47,32,40,22,42,7,24,22,49,10,5,7,14,17
6,6,33,44,11,35,45,49,44,30,18,13,41,16,25,47,1,49,11,15,37,20,31,21,8,1,33,8,37,20,8,24
7,7,5,2,33,1,34,48,4,28,40,42,17,1,15,3,26,37,36,7,12,19,27,15,14,34,45,42,25,34,28,49
8,8,43,24,45,43,44,48,5,16,19,20,10,24,3,21,23,15,37,47,46,1,34,31,17,26,4,15,24,6,23,38
9,9,39,18,9,20,8,17,26,8,4,42,42,38,38,32,46,7,28,1,38,3,14,6,15,10,31,9,28,41,28,5
10,10,35,47,11,22,37,20,14,36,24,46,21,38,15,27,1,33,23,24,38,24,35,16,36,5,5,28,22,39,12,42
11,11,17,23,35,42,43,12,8,47,47,23,27,24,33,33,27,17,37,35,25,21,36,22,23,3,2,31,6,35,2,46
12,12,28,21,11,9,24,12,41,49,47,32,19,9,41,22,10,49,14,22,47,19,47,2,27,19,22,34,37,3,47,16
13,13,7,15,43,43,28,47,36,21,49,15,43,45,15,32,26,25,28,23,47,21,39,14,45,14,3,24,19,30,27,14
14,14,25,13,2,34,47,47,15,8,11,26,35,14,6,46,17,9,20,22,2,18,29,5,48,30,32,3,42,36,14,43
15,15,22,47,29,39,46,20,36,40,24,10,10,33,15,11,28,17,10,25,36,43,6,38,28,32,5,34,25,38,42,26
16,16,42,27,26,8,19,2,18,48,9,49,29,14,40,26,22,46,12,30,41,8,28,38,22,24,16,19,33,33,8,24
17,17,20,27,11,11,25,21,36,14,44,23,14,33,45,47,13,16,10,33,44,25,47,17,12,38,2,39,1,23,3,5
18,18,8,17,32,42,3,23,11,38,38,37,16,17,16,34,36,33,11,13,36,33,45,36,26,20,39,17,20,17,23,5
19,19,21,17,25,45,19,29,4,2,1,35,5,18,6,12,40,38,48,23,9,48,47,42,27,14,40,30,18,36,9,42
20,20,8,20,7,30,30,23,43,32,46,7,10,11,42,37,5,40,1,25,4,13,45,4,11,22,42,38,26,21,37,2
21,21,8,44,38,45,22,38,27,34,2,17,9,19,29,11,28,5,39,13,2,27,47,14,13,4,18,18,28,45,15,28
22,22,37,9,27,46,27,45,34,37,25,6,23,31,28,43,36,34,35,36,13,33,35,23,31,38,29,47,37,19,41,37
23,23,10,33,31,20,14,32,12,29,19,18,41,38,2,37,49,46,7,1,13,13,16,38,38,44,46,39,34,32,31,34
24,24,23,13,46,49,43,49,1,8,40,20,6,25,7,45,13,14,10,16,23,32,33,7,26,39,46,41,44,9,20,1
25,25,16,30,41,36,14,48,26,19,19,21,2,36,3,37,16,33,7,9,38,3,7,40,26,38,36,48,19,21,15,43
26,26,46,22,33,38,25,7,28,31,26,3,23,30,35,22,20,24,2,28,46,1,9,39,46,35,33,6,34,35,32,24
27,27,35,32,14,36,27,3,12,20,38,36,22,29,41,44,30,45,12,37,25,49,33,1,7,21,32,40,3,41,34,41
28,28,26,1,15,37,48,35,42,24,31,43,34,11,44,26,12,28,31,18,25,26,39,49,12,46,18,8,44,42,20,25
29,29,38,28,6,37,47,38,5,14,32,17,1,17,33,20,13,49,35,49,45,20,39,8,45,21,33,47,19,47,39,13
30,30,21,37,42,33,6,4,35,12,7,6,27,31,6,3,18,47,24,11,23,4,1,35,5,15,24,25,31,39,17,2
31,31,10,9,28,31,46,29,10,4,27,4,25,17,4,41,2,39,49,46,6,29,9,45,6,45,2,17,38,14,21,44
32,32,12,22,36,35,21,17,15,20,18,49,6,32,34,39,10,37,13,7,30,22,43,34,35,36,12,29,30,45,34,9
33,33,45,36,38,40,42,12,30,46,44,40,4,41,15,19,6,36,15,6,3,39,22,34,8,29,12,40,43,29,48,23
34,34,13,42,18,20,13,11,34,45,39,41,31,23,21,12,49,45,29,8,33,49,9,15,15,4,11,10,17,33,26,27
35,35,16,48,15,33,18,41,39,37,23,11,29,39,1,14,25,21,8,12,16,47,21,36,13,41,47,11,3,6,41,2
36,36,7,46,21,28,44,33,9,40,27,4,18,6,27,47,21,43,11,16,35,11,28,14,1,39,46,16,15,41,49,24
37,37,30,45,5,1,29,19,14,34,37,43,44,42,38,5,30,41,20,8,39,35,12,24,45,7,39,46,33,48,39,18
38,38,44,24,10,49,20,21,24,45,1,47,43,45,6,2,38,30,20,6,34,44,33,39,6,43,43,17,2,26,32,2
39,39,40,40,10,18,41,23,4,42,47,17,19,16,34,3,4,18,4,42,9,49,29,18,11,48,2,43,22,22,39,40
40,40,11,37,15,11,19,27,44,12,2,11,40,26,24,42,48,43,18,48,26,49,39,37,29,33,45,12,33,25,40,18
41,41,6,21,39,29,35,22,45,15,42,4,18,31,16,16,34,21,33,19,28,46,36,48,19,8,34,20,24,37,18,7
42,42,6,41,6,13,36,11,8,23,9,26,27,44,21,42,27,17,17,6,9,19,31,39,12,10,45,30,30,3,26,1
43,43,3,32,41,28,42,44,24,29,1,24,10,16,7,41,46,41,6,10,23,15,10,28,26,8,27,45,46,17,5,43
44,44,13,49,18,22,47,15,40,47,47,8,38,36,35,26,40,27,36,47,40,7,10,22,27,41,11,26,9,25,18,15
45,45,12,22,12,16,25,15,12,40,9,39,37,16,44,12,49,45,41,37,45,23,40,31,38,22,6,29,10,3,20,16
46,46,14,20,30,14,26,29,11,6,36,7,33,6,30,11,31,5,48,5,34,6,30,47,20,46,41,1,11,17,42,16
47,47,23,35,18,42,34,44,9,27,47,48,10,26,25,8,22,38,41,12,30,29,29,26,21,23,22,6,47,48,34,2
48,48,11,8,8,44,13,9,36,12,17,36,1,16,4,27,25,25,4,43,33,34,30,13,27,1,19,44,23,39,44,41
49,49,36,25,29,3,48,35,18,8,9,38,35,44,1,34,2,28,34,34,31,4,22,9,13,37,26,31,36,9,43,19
50,50,18,14,16,32,30,39,34,23,15,1,49,6,10,38,48,19,25,18,32,44,21,21,36,5,26,5,34,3,12,24
51,51,42,38,28,43,31,2,13,3,40,35,29,27,8,27,28,2,48,28,28,9,17,11,48,40,23,19,25,16,17,47
52,52,24,49,17,15,28,42,27,13,13,9,26,25,15,32,28,38,32,37,1,41,46,30,28,21,1,6,49,18,34,8
53,53,26,44,26,13,41,14,30,12,4,45,14,4,20,9,16,49,10,25,13,25,32,42,35,42,41,26,27,46,7,31
54,54,8,13,13,10,8,1,20,11,4,22,2,35,12,47,25,24,29,38,18,16,31,13,17,7,43,42,46,22,43,8
