,job,Obj00,Obj10,Obj01,Obj11,Obj02,Obj12,Obj03,Obj13,Obj04,Obj14,Obj05,Obj15,Obj06,Obj16,Obj07,Obj17,Obj08,Obj18,Obj09,Obj19,Obj010,Obj110,Obj011,Obj111,Obj012,Obj112,Obj013,Obj113,Obj014,Obj114
0,0,61,10,51,63,83,4,50,95,13,76,13,32,86,27,97,29,56,38,86,32,54,5,10,93,82,35,97,90,8,69
1,1,69,74,79,84,93,48,63,55,27,74,35,35,54,43,85,26,28,37,91,22,23,21,53,85,99,90,45,68,37,3
2,2,66,14,29,35,86,48,83,35,89,10,92,90,45,3,38,90,40,82,13,9,83,45,56,93,28,20,57,92,21,65
3,3,26,67,3,9,60,84,46,78,27,43,6,40,79,24,28,59,1,23,78,54,73,29,88,94,19,71,5,95,60,97
4,4,14,21,20,72,33,23,88,9,63,4,5,98,48,6,26,92,14,86,76,3,52,28,91,17,80,21,53,32,11,91
5,5,20,44,49,59,26,75,11,31,87,30,24,93,96,46,94,61,82,28,27,17,31,85,78,4,1,71,41,81,10,97
6,6,67,79,63,10,33,12,48,39,25,99,67,1,69,91,5,99,73,65,51,84,73,82,40,47,26,54,47,45,82,61
7,7,77,55,82,83,31,7,26,69,5,11,19,57,25,59,30,61,6,13,38,24,99,79,49,26,78,59,91,82,55,18
8,8,68,73,80,45,27,20,96,46,3,38,45,19,74,76,71,53,27,47,21,68,97,12,49,22,36,60,99,62,39,67
9,9,24,25,16,44,30,79,51,48,27,65,75,56,88,51,15,57,55,96,70,90,94,75,45,63,56,83,61,73,41,86
10,10,26,82,1,93,92,76,25,84,79,66,11,37,50,50,45,86,43,80,36,75,27,64,73,2,52,38,21,42,99,56
11,11,68,36,12,82,99,11,1,18,66,25,8,27,1,54,16,30,98,48,57,63,26,92,58,31,49,14,25,80,45,58
12,12,98,48,42,38,11,28,1,88,67,4,58,82,6,4,75,56,49,53,34,44,87,61,30,79,71,10,73,72,33,18
13,13,3,25,50,43,2,65,66,64,25,69,67,35,33,40,35,24,53,62,24,46,16,46,45,84,9,91,17,51,64,32
14,14,38,53,74,8,73,78,24,70,49,68,68,14,97,8,55,79,29,15,74,76,98,64,39,3,74,52,33,72,2,88
15,15,33,85,75,93,76,38,81,63,68,83,47,4,47,17,89,67,21,46,49,70,16,62,51,68,1,90,49,37,86,59
