,job,Obj00,Obj10,Obj01,Obj11,Obj02,Obj12,Obj03,Obj13,Obj04,Obj14,Obj05,Obj15,Obj06,Obj16,Obj07,Obj17,Obj08,Obj18,Obj09,Obj19
0,0,6,28,49,1,38,3,7,41,43,6,9,39,49,14,39,46,39,43,7,7
1,1,11,21,35,40,46,46,48,5,3,10,38,15,19,1,34,31,19,27,29,30
2,2,46,42,11,44,22,22,35,9,10,14,2,20,15,48,33,19,5,40,27,21
3,3,19,17,12,41,25,22,44,27,37,5,40,4,40,16,26,6,22,24,10,4
4,4,21,12,33,21,48,29,5,49,22,27,13,46,10,18,25,8,38,48,25,44
5,5,37,20,11,20,39,29,33,14,14,29,1,39,3,36,38,41,23,8,20,32
6,6,3,48,25,3,39,25,6,30,48,1,1,33,1,3,47,26,15,31,33,38
7,7,49,10,9,49,8,48,30,35,9,15,43,8,12,30,41,18,46,30,34,48
8,8,8,41,23,15,15,18,41,48,17,18,47,1,4,47,37,19,18,8,41,32
9,9,40,28,18,48,28,8,7,11,40,47,7,45,26,42,26,15,16,5,47,38
10,10,36,36,16,31,10,15,3,39,24,37,18,32,5,3,7,39,4,28,48,11
11,11,10,41,49,42,31,30,18,30,42,26,47,11,16,45,41,39,21,20,27,6
12,12,46,21,7,5,20,24,27,38,12,19,37,5,39,21,47,26,15,12,1,23
13,13,21,45,29,45,9,3,35,1,44,42,7,37,31,6,5,49,34,2,37,24
14,14,44,38,42,20,1,20,18,35,25,27,25,18,24,27,3,21,23,41,7,41
15,15,26,46,27,14,19,6,24,8,8,39,35,12,28,32,46,23,20,9,18,24
16,16,26,3,25,14,47,27,5,48,19,22,37,7,45,16,30,16,9,25,24,19
17,17,20,42,1,2,43,22,33,22,33,41,23,29,28,3,36,9,19,41,47,27
18,18,48,18,29,37,36,22,44,38,34,22,29,23,36,23,27,46,41,46,40,36
19,19,14,15,23,3,20,28,39,14,42,11,32,34,12,18,35,42,33,32,44,2
20,20,25,22,36,43,40,26,43,40,11,5,9,30,22,2,4,3,10,3,41,24
21,21,10,46,37,43,8,11,40,11,47,45,29,37,40,16,15,15,39,48,11,11
22,22,49,13,48,28,22,34,20,27,14,3,47,34,9,27,19,30,46,2,19,3
23,23,38,17,29,30,6,35,30,17,47,2,2,43,24,2,10,21,15,39,46,2
24,24,38,9,42,33,37,26,11,31,22,9,28,42,45,23,38,16,32,19,40,6
25,25,46,5,36,40,42,24,36,1,48,6,29,1,10,49,2,6,23,23,48,7
26,26,3,23,38,7,28,7,21,8,42,20,21,16,33,1,34,43,30,24,18,40
27,27,35,16,46,41,14,49,31,6,32,42,34,20,46,24,43,22,36,3,24,22
28,28,10,16,28,48,17,16,12,24,3,26,38,46,4,19,24,48,16,5,22,22
29,29,9,9,41,11,34,8,18,13,6,7,20,33,12,11,18,9,44,49,41,49
30,30,38,23,13,32,41,12,30,15,17,47,20,48,33,12,42,25,2,49,41,28
31,31,43,37,46,9,43,12,28,45,6,9,44,5,6,18,5,36,20,42,18,43
32,32,20,26,19,42,21,23,26,30,9,47,21,43,34,37,40,5,14,42,12,42
33,33,15,23,16,19,44,39,26,19,43,18,48,9,13,1,3,40,33,42,19,6
34,34,32,22,1,26,10,45,47,5,13,18,39,17,15,47,40,1,42,27,31,41
35,35,20,15,13,3,30,38,25,10,30,15,17,44,3,1,47,42,35,39,20,40
36,36,22,35,4,45,31,13,28,11,21,2,13,32,19,24,4,33,49,22,41,12
37,37,39,25,13,19,38,42,14,10,30,22,46,6,28,20,13,44,42,41,42,12
38,38,42,6,30,37,24,4,7,22,49,29,34,35,39,15,15,47,49,32,23,34
39,39,29,20,47,35,7,49,10,31,11,49,28,6,34,22,18,11,2,40,38,49
40,40,32,4,12,20,43,8,17,32,25,39,35,43,13,14,7,13,36,1,36,15
41,41,1,3,6,18,23,30,39,36,18,33,33,11,4,39,34,4,20,26,26,1
42,42,8,34,14,35,46,49,17,1,16,25,41,21,9,11,6,46,30,23,29,10
43,43,30,6,35,34,16,20,11,24,30,46,16,10,15,19,17,7,18,31,24,9
44,44,48,2,37,42,8,19,46,2,48,34,6,36,39,21,18,31,35,5,25,15
45,45,26,14,5,29,40,16,20,34,45,16,20,28,48,47,40,23,45,31,7,30
46,46,42,24,23,7,26,43,14,13,32,5,30,15,43,9,5,33,18,37,32,1
47,47,30,46,9,44,34,48,8,35,23,25,17,18,16,32,24,5,15,14,47,47
48,48,39,14,15,33,49,20,19,2,2,48,6,11,8,18,11,3,19,39,30,47
49,49,23,3,21,4,32,33,46,18,25,12,13,4,29,47,10,6,6,28,15,42
50,50,15,5,3,43,1,24,10,11,42,29,9,42,11,24,4,35,16,34,27,7
51,51,17,22,49,45,32,26,30,7,24,38,41,49,33,3,19,29,47,25,28,38
52,52,35,1,9,8,30,35,3,32,9,4,12,20,29,33,22,34,41,22,24,27
53,53,3,49,49,45,28,26,34,48,25,34,25,7,38,29,46,28,37,8,34,22
54,54,29,18,26,1,34,22,22,28,39,42,32,12,33,46,2,10,20,1,4,5
55,55,27,30,22,15,26,44,2,5,27,15,45,49,41,3,47,19,4,49,3,41
56,56,36,33,40,8,9,25,13,37,45,27,49,37,14,22,19,42,46,18,5,14
57,57,9,24,40,7,46,23,23,34,12,13,11,47,45,4,18,30,44,13,25,28
58,58,22,25,21,36,40,8,10,48,33,4,19,12,39,37,33,14,45,9,23,18
59,59,19,28,12,29,38,40,6,44,36,12,9,40,4,31,3,37,26,20,16,23
60,60,18,3,48,37,37,11,32,7,4,15,14,16,3,39,41,33,20,27,29,44
61,61,13,17,4,41,6,34,42,6,43,33,36,19,1,26,10,2,18,39,2,38
62,62,22,14,36,9,25,28,17,5,49,34,7,14,41,49,20,5,38,36,39,22
63,63,23,6,2,44,6,6,38,11,10,4,10,47,24,19,3,31,39,15,44,48
64,64,8,22,15,29,4,1,29,6,31,37,41,15,29,38,44,41,26,29,1,11
65,65,36,47,30,10,48,48,22,42,3,6,22,2,46,10,2,1,42,18,34,4
66,66,18,7,3,3,36,38,22,33,38,44,27,13,34,10,10,17,31,4,46,18
67,67,15,8,37,38,32,40,19,45,39,13,41,2,12,14,44,22,47,36,23,33
68,68,29,32,39,49,10,48,5,38,27,16,17,33,46,15,25,48,17,6,11,39
69,69,47,15,41,30,10,47,10,29,1,37,29,37,13,37,31,31,44,21,23,1
70,70,38,26,4,4,15,9,40,20,25,21,19,29,15,44,3,10,35,47,31,38
71,71,46,41,3,7,37,40,1,42,43,14,12,13,43,44,36,43,2,39,48,9
72,72,13,2,24,43,33,16,16,20,11,41,16,45,11,3,43,35,1,38,22,3
73,73,2,45,25,27,49,12,21,34,39,43,10,13,46,40,35,24,34,17,4,46
74,74,37,29,49,20,24,26,40,45,24,25,26,34,19,2,33,35,24,33,29,44
75,75,13,19,21,36,7,9,47,25,41,29,49,22,17,28,1,20,32,40,32,49
76,76,45,20,40,15,23,28,5,49,31,47,22,29,33,40,44,28,25,15,33,20
77,77,21,24,48,40,22,39,44,32,6,6,35,42,12,14,36,7,24,41,40,48
78,78,38,7,48,3,15,13,40,31,42,28,2,47,47,28,27,13,29,34,15,29
79,79,7,48,38,45,9,23,18,24,6,13,38,28,22,5,28,38,16,6,4,44
80,80,40,36,1,24,40,42,21,45,16,36,22,15,41,35,23,44,24,33,14,13
81,81,11,9,49,1,28,20,31,41,46,1,36,27,26,20,31,45,21,38,22,13
82,82,43,16,13,13,8,34,9,32,33,23,46,5,25,6,11,48,6,40,27,31
83,83,16,12,28,47,22,26,41,27,16,27,48,41,35,11,21,20,36,46,6,38
84,84,45,38,19,21,17,7,45,31,28,19,47,31,3,9,44,40,16,16,42,13
85,85,33,20,22,26,37,7,20,44,12,33,26,42,23,33,29,23,9,10,13,25
86,86,1,28,11,43,17,28,37,34,14,32,20,16,29,10,22,12,40,37,34,7
87,87,27,21,45,25,4,39,21,39,20,35,41,13,25,20,46,30,40,12,27,31
88,88,16,48,28,21,42,26,1,12,30,37,6,37,12,12,37,46,46,26,48,46
89,89,33,42,22,17,13,49,12,38,23,39,25,24,24,40,18,8,10,36,33,27
90,90,31,17,25,23,38,17,39,12,9,35,8,2,13,38,2,9,30,43,45,22
91,91,48,38,49,7,47,10,32,15,24,25,30,30,38,38,46,47,9,37,12,6
92,92,23,49,31,2,21,49,40,17,22,32,16,34,24,4,34,20,14,43,46,39
