,job,Obj00,Obj10,Obj01,Obj11,Obj02,Obj12,Obj03,Obj13,Obj04,Obj14,Obj05,Obj15,Obj06,Obj16,Obj07,Obj17,Obj08,Obj18,Obj09,Obj19
0,0,18,12,13,1,9,15,4,2,13,12,1,12,15,1,13,12,10,17,15,21
1,1,3,11,2,22,20,7,13,7,15,19,1,5,23,20,8,21,22,1,16,19
2,2,18,11,23,11,23,2,21,16,21,8,18,10,11,14,23,4,20,6,8,1
3,3,2,7,20,4,12,12,12,8,20,23,19,14,21,18,4,11,2,10,10,23
4,4,7,16,17,5,11,22,19,12,3,2,15,6,11,10,5,2,23,15,20,1
5,5,13,19,2,10,7,23,7,4,20,16,8,22,12,7,7,4,18,7,17,11
6,6,16,23,11,15,3,11,11,11,1,15,3,19,23,22,11,14,2,18,18,18
7,7,2,16,16,4,2,11,3,24,17,9,18,18,3,16,16,24,17,1,4,12
8,8,9,9,11,18,8,7,20,10,8,18,21,23,15,15,20,14,16,15,5,23
9,9,6,23,16,9,15,14,14,13,9,9,3,15,23,2,16,5,14,4,19,13
10,10,5,18,7,18,24,4,8,12,15,10,20,17,1,24,23,19,19,1,17,13
11,11,3,10,2,8,8,12,13,21,12,17,9,2,2,10,1,14,13,11,1,11
12,12,6,5,19,17,7,13,16,7,8,24,9,4,9,1,3,24,6,16,14,1
13,13,8,20,7,7,6,16,15,24,22,1,22,5,11,6,15,17,3,24,7,2
14,14,5,1,2,12,6,3,23,18,24,22,16,22,1,12,8,19,17,5,4,17
15,15,21,24,4,3,15,16,19,17,12,3,3,17,24,17,13,3,15,18,24,17
16,16,13,16,24,19,10,21,10,6,5,21,11,14,22,10,11,19,11,5,8,11
17,17,11,14,21,7,12,23,17,17,10,8,10,7,15,14,23,20,24,7,2,18
18,18,5,20,4,2,5,20,4,17,5,8,13,21,16,20,10,20,8,24,5,5
19,19,1,14,11,5,7,8,10,16,5,16,1,13,3,14,16,18,12,8,16,8
20,20,18,23,13,23,17,19,16,24,24,11,11,11,24,11,10,23,8,24,5,21
21,21,1,14,13,18,6,16,4,12,2,12,12,8,2,13,16,8,8,22,23,1
22,22,9,5,14,24,15,3,22,8,7,1,5,12,1,18,12,7,21,15,12,4
23,23,22,5,4,2,1,1,4,4,6,6,9,14,24,2,5,23,23,6,20,14
24,24,17,19,9,13,20,15,10,18,24,20,20,17,20,5,24,18,6,8,17,8
25,25,16,9,7,4,4,19,3,20,16,22,24,20,21,18,6,21,4,16,16,4
26,26,7,21,3,24,6,7,9,6,4,12,18,5,10,5,1,19,23,19,24,21
27,27,1,23,1,16,8,17,19,5,20,18,12,17,20,24,13,9,6,23,16,1
28,28,19,15,18,12,7,14,14,9,16,3,20,10,2,23,17,20,16,17,6,14
29,29,22,8,16,15,4,1,9,20,19,13,22,15,3,23,10,21,12,15,19,14
30,30,19,22,10,6,17,14,12,7,8,23,22,20,16,11,10,20,10,8,7,24
31,31,22,14,19,14,23,16,2,14,21,16,7,7,22,17,10,17,1,12,7,9
32,32,3,4,20,10,18,4,23,21,15,21,18,15,14,17,9,13,15,5,11,4
33,33,23,15,2,11,22,19,2,17,10,17,12,10,2,12,22,5,15,2,19,18
34,34,15,2,1,9,12,19,11,23,17,1,1,8,1,2,16,12,7,8,22,2
35,35,11,15,12,10,11,1,11,15,12,12,9,1,23,13,20,14,22,5,8,7
36,36,9,24,21,14,11,23,2,1,16,20,8,13,24,19,17,12,4,15,6,23
37,37,8,5,1,21,1,13,17,13,24,4,17,8,20,7,24,20,4,7,23,2
38,38,16,17,14,4,16,22,14,21,18,21,9,1,1,14,20,24,1,22,8,5
39,39,16,8,6,17,17,12,6,23,21,13,20,6,10,11,15,12,8,23,9,17
40,40,22,23,17,24,4,1,14,17,24,10,1,16,13,11,3,5,18,16,23,5
41,41,24,2,17,15,3,4,4,19,12,1,24,10,8,13,24,15,14,10,12,3
42,42,19,12,13,1,24,9,22,7,24,23,20,21,22,1,3,11,16,19,22,4
43,43,23,18,5,6,17,14,6,22,20,7,2,10,15,21,20,18,2,7,6,20
44,44,8,24,13,13,16,20,23,24,8,20,15,16,21,3,19,21,24,14,21,19
45,45,16,16,10,22,6,6,18,2,24,8,11,18,4,4,2,13,20,15,20,14
46,46,2,7,7,15,9,5,3,19,22,19,15,15,12,15,7,4,23,8,22,12
47,47,19,18,15,3,16,2,21,14,8,16,3,4,1,16,9,5,17,8,1,8
48,48,12,17,19,23,5,20,5,12,23,7,17,7,23,13,11,10,17,15,15,7
49,49,11,13,21,11,10,11,2,5,4,24,13,21,9,14,6,2,13,13,14,5
