,job,Obj00,Obj10,Obj01,Obj11,Obj02,Obj12,Obj03,Obj13,Obj04,Obj14,Obj05,Obj15,Obj06,Obj16,Obj07,Obj17,Obj08,Obj18,Obj09,Obj19
0,0,37,32,14,31,52,33,95,94,59,36,11,78,72,75,39,62,35,50,78,60
1,1,12,86,52,63,48,58,74,18,93,14,88,54,14,63,38,70,1,7,43,75
2,2,1,97,1,58,86,36,76,42,97,62,86,56,12,10,25,13,4,85,80,90
3,3,32,25,85,70,79,97,99,41,23,4,43,66,7,85,22,77,84,60,65,72
4,4,51,67,20,61,86,99,30,13,50,35,75,18,28,87,56,54,31,40,92,81
5,5,70,7,29,6,10,86,20,11,41,37,47,10,84,75,90,13,1,77,55,91
6,6,87,82,67,66,65,97,98,47,95,49,48,25,13,75,65,16,23,59,63,63
7,7,80,54,88,50,6,3,34,85,7,44,77,83,1,38,17,14,18,22,21,11
8,8,5,66,21,92,18,46,93,41,95,61,13,1,8,76,10,37,85,3,73,20
9,9,63,86,6,97,40,24,64,37,36,53,29,12,87,48,76,54,88,48,24,23
10,10,88,75,1,63,31,86,81,10,17,64,90,54,39,83,85,92,79,74,65,62
11,11,85,26,16,71,4,3,58,10,5,21,74,74,38,99,91,21,80,84,86,24
12,12,99,89,25,85,67,17,37,2,16,99,84,49,34,27,46,46,53,12,78,72
13,13,45,24,73,22,90,82,20,76,72,34,74,66,93,47,44,79,52,75,10,94
14,14,56,36,43,62,72,23,57,6,37,93,41,32,53,80,42,21,39,8,70,39
15,15,22,43,83,31,60,68,57,6,91,65,97,81,8,10,45,18,25,2,15,58
16,16,38,47,42,68,10,9,87,28,32,60,74,78,10,40,11,48,77,6,4,38
17,17,49,57,92,11,13,32,74,12,52,72,52,43,13,70,87,60,26,19,52,11
18,18,75,3,89,88,15,49,10,70,10,9,71,83,38,45,63,23,45,21,60,2
19,19,17,56,38,36,9,51,17,11,47,39,91,66,26,27,24,27,55,55,89,84
20,20,33,68,30,38,67,63,12,47,2,59,69,82,16,85,85,1,1,47,1,61
21,21,16,1,80,64,61,59,87,82,47,86,93,9,7,32,26,81,17,39,72,15
22,22,59,58,80,38,20,20,11,69,42,15,65,75,56,45,17,54,44,1,96,67
